checkpoint_t_s,mon_rate_hz,mon_active_fraction
0.000000,0.000000,0.000000
6.000000,12.710885,1.000000
12.000000,14.867917,1.000000
18.000000,13.835260,1.000000
24.000000,12.915938,1.000000
30.000000,11.888385,1.000000
36.000000,13.425781,1.000000
42.000000,13.357656,1.000000
48.000000,14.454010,1.000000
54.000000,13.624635,1.000000
60.000000,11.992031,1.000000
66.000000,12.570573,1.000000
72.000000,13.664792,1.000000
78.000000,13.978125,1.000000
84.000000,14.018177,1.000000
90.000000,12.330625,1.000000
96.000000,13.848490,1.000000
102.000000,14.834115,1.000000
108.000000,12.874010,1.000000
114.000000,13.580885,1.000000
120.000000,13.514167,1.000000
126.000000,13.093125,1.000000
132.000000,13.790573,1.000000
138.000000,13.245156,1.000000
144.000000,13.106563,1.000000
150.000000,14.464375,1.000000
156.000000,12.732240,1.000000
162.000000,14.053490,1.000000
168.000000,12.019167,1.000000
174.000000,13.430104,1.000000
180.000000,12.373750,1.000000
186.000000,14.095469,1.000000
192.000000,12.780885,1.000000
198.000000,13.139792,0.999687
204.000000,12.971094,1.000000
210.000000,13.861927,1.000000
216.000000,12.967604,1.000000
222.000000,14.911510,1.000000
228.000000,13.197031,1.000000
234.000000,13.684896,1.000000
240.000000,12.747865,1.000000
