checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0262276298,0.0018966786,0.0000000000
6.00000000,0.0260608678,0.0018703266,-0.0000277937
12.00000000,0.0259041115,0.0018767756,-0.0000261260
18.00000000,0.0257567607,0.0019102624,-0.0000245585
24.00000000,0.0256182508,0.0019648498,-0.0000230850
30.00000000,0.0254880516,0.0020350529,-0.0000216999
36.00000000,0.0253656643,0.0021161891,-0.0000203979
42.00000000,0.0252506203,0.0022044776,-0.0000191740
48.00000000,0.0251424789,0.0022969844,-0.0000180236
54.00000000,0.0250408260,0.0023914962,-0.0000169422
60.00000000,0.0249452722,0.0024863797,-0.0000159256
66.00000000,0.0248554517,0.0025804534,-0.0000149701
72.00000000,0.0247710204,0.0026728798,-0.0000140719
78.00000000,0.0246916550,0.0027630817,-0.0000132276
84.00000000,0.0246170515,0.0028506763,-0.0000124339
90.00000000,0.0245469243,0.0029354263,-0.0000116879
96.00000000,0.0244810046,0.0030172023,-0.0000109866
102.00000000,0.0244190402,0.0030959552,-0.0000103274
108.00000000,0.0243607936,0.0031716951,-0.0000097078
114.00000000,0.0243060418,0.0032444752,-0.0000091253
120.00000000,0.0242545751,0.0033143806,-0.0000085778
126.00000000,0.0242061964,0.0033815184,-0.0000080631
132.00000000,0.0243274824,0.0034447906,0.0000202143
138.00000000,0.0244414912,0.0035044349,0.0000190015
144.00000000,0.0245486596,0.0035606421,0.0000178614
150.00000000,0.0246493978,0.0036135960,0.0000167897
156.00000000,0.0247440917,0.0036634734,0.0000157823
162.00000000,0.0248331040,0.0037104436,0.0000148354
168.00000000,0.0249167755,0.0037546682,0.0000139453
174.00000000,0.0249954268,0.0037963013,0.0000131085
180.00000000,0.0250693590,0.0038354893,0.0000123220
186.00000000,0.0251388552,0.0038723714,0.0000115827
192.00000000,0.0252041817,0.0039070795,0.0000108877
198.00000000,0.0252655886,0.0039397386,0.0000102345
204.00000000,0.0253233110,0.0039704670,0.0000096204
210.00000000,0.0253775702,0.0039993766,0.0000090432
216.00000000,0.0254285737,0.0040265732,0.0000085006
222.00000000,0.0254765171,0.0040521567,0.0000079906
228.00000000,0.0255215839,0.0040762213,0.0000075111
234.00000000,0.0255639466,0.0040988560,0.0000070605
240.00000000,0.0256037676,0.0041201449,0.0000066368
246.00000000,0.0256411993,0.0041401671,0.0000062386
252.00000000,0.0256763852,0.0041589972,0.0000058643
258.00000000,0.0257094598,0.0041767055,0.0000055124
264.00000000,0.0257405500,0.0041933583,0.0000051817
270.00000000,0.0257697748,0.0042090181,0.0000048708
276.00000000,0.0257972461,0.0042237437,0.0000045785
282.00000000,0.0258230691,0.0042375905,0.0000043038
288.00000000,0.0258473428,0.0042506105,0.0000040456
294.00000000,0.0258701600,0.0042628529,0.0000038029
300.00000000,0.0258916082,0.0042743639,0.0000035747
306.00000000,0.0259117695,0.0042851870,0.0000033602
312.00000000,0.0259307211,0.0042953632,0.0000031586
318.00000000,0.0259485356,0.0043049309,0.0000029691
324.00000000,0.0259652813,0.0043139264,0.0000027909
330.00000000,0.0259810222,0.0043223838,0.0000026235
336.00000000,0.0259958186,0.0043303352,0.0000024661
342.00000000,0.0260097273,0.0043378107,0.0000023181
348.00000000,0.0260228014,0.0043448389,0.0000021790
354.00000000,0.0260350911,0.0043514463,0.0000020483
360.00000000,0.0260466435,0.0043576581,0.0000019254
