checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0262271410,0.0019029427,0.0000000000
6.00000000,0.0260603790,0.0018762721,-0.0000277937
12.00000000,0.0259036227,0.0018823602,-0.0000261260
18.00000000,0.0257562719,0.0019154701,-0.0000245585
24.00000000,0.0256177620,0.0019696882,-0.0000230850
30.00000000,0.0254875628,0.0020395467,-0.0000216999
36.00000000,0.0253651755,0.0021203720,-0.0000203979
42.00000000,0.0252501315,0.0022083869,-0.0000191740
48.00000000,0.0251419901,0.0023006566,-0.0000180236
54.00000000,0.0250403372,0.0023949652,-0.0000169422
60.00000000,0.0249447834,0.0024896756,-0.0000159256
66.00000000,0.0248549629,0.0025836022,-0.0000149701
72.00000000,0.0247705316,0.0026759040,-0.0000140719
78.00000000,0.0246911662,0.0027660002,-0.0000132276
84.00000000,0.0246165627,0.0028535052,-0.0000124339
90.00000000,0.0245464355,0.0029381791,-0.0000116879
96.00000000,0.0244805158,0.0030198904,-0.0000109866
102.00000000,0.0244185514,0.0030985881,-0.0000103274
108.00000000,0.0243603048,0.0031742807,-0.0000097078
114.00000000,0.0243055530,0.0032470204,-0.0000091253
120.00000000,0.0242540863,0.0033168908,-0.0000085778
126.00000000,0.0242057076,0.0033839983,-0.0000080631
132.00000000,0.0243269936,0.0034472897,0.0000202143
138.00000000,0.0244410024,0.0035069525,0.0000190015
144.00000000,0.0245481708,0.0035631775,0.0000178614
150.00000000,0.0246489090,0.0036161485,0.0000167897
156.00000000,0.0247436029,0.0036660422,0.0000157823
162.00000000,0.0248326152,0.0037130279,0.0000148354
168.00000000,0.0249162867,0.0037572673,0.0000139453
174.00000000,0.0249949380,0.0037989144,0.0000131085
180.00000000,0.0250688702,0.0038381158,0.0000123220
186.00000000,0.0251383664,0.0038750106,0.0000115827
192.00000000,0.0252036929,0.0039097307,0.0000108877
198.00000000,0.0252650998,0.0039424013,0.0000102345
204.00000000,0.0253228222,0.0039731405,0.0000096204
210.00000000,0.0253770814,0.0040020604,0.0000090432
216.00000000,0.0254280849,0.0040292666,0.0000085006
222.00000000,0.0254760283,0.0040548593,0.0000079906
228.00000000,0.0255210951,0.0040789325,0.0000075111
234.00000000,0.0255634578,0.0041015755,0.0000070605
240.00000000,0.0256032788,0.0041228721,0.0000066368
246.00000000,0.0256407105,0.0041429015,0.0000062386
252.00000000,0.0256758964,0.0041617385,0.0000058643
258.00000000,0.0257089710,0.0041794533,0.0000055124
264.00000000,0.0257400612,0.0041961122,0.0000051817
270.00000000,0.0257692860,0.0042117778,0.0000048708
276.00000000,0.0257967573,0.0042265088,0.0000045785
282.00000000,0.0258225803,0.0042403607,0.0000043038
288.00000000,0.0258468540,0.0042533855,0.0000040456
294.00000000,0.0258696712,0.0042656325,0.0000038029
300.00000000,0.0258911194,0.0042771478,0.0000035747
306.00000000,0.0259112807,0.0042879749,0.0000033602
312.00000000,0.0259302323,0.0042981549,0.0000031586
318.00000000,0.0259480468,0.0043077262,0.0000029691
324.00000000,0.0259647925,0.0043167250,0.0000027909
330.00000000,0.0259805334,0.0043251856,0.0000026235
336.00000000,0.0259953298,0.0043331400,0.0000024661
342.00000000,0.0260092385,0.0043406183,0.0000023181
348.00000000,0.0260223126,0.0043476491,0.0000021790
354.00000000,0.0260346023,0.0043542591,0.0000020483
360.00000000,0.0260461547,0.0043604732,0.0000019254
