checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0262174408,0.0018954070,0.0000000000
6.00000000,0.0260506789,0.0018689185,-0.0000277937
12.00000000,0.0258939226,0.0018752268,-0.0000261260
18.00000000,0.0257465717,0.0019085746,-0.0000245585
24.00000000,0.0256080619,0.0019630278,-0.0000230850
30.00000000,0.0254778627,0.0020331028,-0.0000216999
36.00000000,0.0253554754,0.0021141164,-0.0000203979
42.00000000,0.0252404314,0.0022022872,-0.0000191740
48.00000000,0.0251322900,0.0022946801,-0.0000180236
54.00000000,0.0250306370,0.0023890810,-0.0000169422
60.00000000,0.0249350833,0.0024838558,-0.0000159256
66.00000000,0.0248452628,0.0025778221,-0.0000149701
72.00000000,0.0247608315,0.0026701423,-0.0000140719
78.00000000,0.0246814661,0.0027602386,-0.0000132276
84.00000000,0.0246068626,0.0028477279,-0.0000124339
90.00000000,0.0245367353,0.0029323727,-0.0000116879
96.00000000,0.0244708157,0.0030140434,-0.0000109866
102.00000000,0.0244088512,0.0030926907,-0.0000103274
108.00000000,0.0243506046,0.0031683246,-0.0000097078
114.00000000,0.0242958528,0.0032409984,-0.0000091253
120.00000000,0.0242443862,0.0033107967,-0.0000085778
126.00000000,0.0241960075,0.0033778269,-0.0000080631
132.00000000,0.0243172935,0.0034411019,0.0000202143
138.00000000,0.0244313023,0.0035007493,0.0000190015
144.00000000,0.0245384706,0.0035569597,0.0000178614
150.00000000,0.0246392088,0.0036099170,0.0000167897
156.00000000,0.0247339028,0.0036597977,0.0000157823
162.00000000,0.0248229150,0.0037067712,0.0000148354
168.00000000,0.0249065866,0.0037509992,0.0000139453
174.00000000,0.0249852378,0.0037926354,0.0000131085
180.00000000,0.0250591700,0.0038318266,0.0000123220
186.00000000,0.0251286663,0.0038687118,0.0000115827
192.00000000,0.0251939927,0.0039034228,0.0000108877
198.00000000,0.0252553996,0.0039360848,0.0000102345
204.00000000,0.0253131221,0.0039668160,0.0000096204
210.00000000,0.0253673812,0.0039957282,0.0000090432
216.00000000,0.0254183848,0.0040229274,0.0000085006
222.00000000,0.0254663282,0.0040485132,0.0000079906
228.00000000,0.0255113949,0.0040725801,0.0000075111
234.00000000,0.0255537577,0.0040952171,0.0000070605
240.00000000,0.0255935787,0.0041165080,0.0000066368
246.00000000,0.0256310104,0.0041365322,0.0000062386
252.00000000,0.0256661962,0.0041553641,0.0000058643
258.00000000,0.0256992709,0.0041730742,0.0000055124
264.00000000,0.0257303611,0.0041897287,0.0000051817
270.00000000,0.0257595859,0.0042053901,0.0000048708
276.00000000,0.0257870572,0.0042201172,0.0000045785
282.00000000,0.0258128802,0.0042339654,0.0000043038
288.00000000,0.0258371538,0.0042469868,0.0000040456
294.00000000,0.0258599710,0.0042592304,0.0000038029
300.00000000,0.0258814192,0.0042707427,0.0000035747
306.00000000,0.0259015805,0.0042815669,0.0000033602
312.00000000,0.0259205321,0.0042917441,0.0000031586
318.00000000,0.0259383467,0.0043013128,0.0000029691
324.00000000,0.0259550923,0.0043103093,0.0000027909
330.00000000,0.0259708332,0.0043187676,0.0000026235
336.00000000,0.0259856297,0.0043267198,0.0000024661
342.00000000,0.0259995384,0.0043341962,0.0000023181
348.00000000,0.0260126125,0.0043412251,0.0000021790
354.00000000,0.0260249022,0.0043478332,0.0000020483
360.00000000,0.0260364545,0.0043540457,0.0000019254
