checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0269963244,0.0020598608,0.0000000000
6.00000000,0.0275409637,0.0040332076,0.0000907732
12.00000000,0.0274592352,0.0040283120,-0.0000136214
18.00000000,0.0275598219,0.0049777762,0.0000167645
24.00000000,0.0274097674,0.0050215292,-0.0000250091
30.00000000,0.0272781554,0.0050431761,-0.0000219353
36.00000000,0.0271705620,0.0050567001,-0.0000179322
42.00000000,0.0270419147,0.0050351782,-0.0000214412
48.00000000,0.0269063151,0.0051174690,-0.0000225999
54.00000000,0.0268658195,0.0052060958,-0.0000067493
60.00000000,0.0266909667,0.0051975977,-0.0000291421
66.00000000,0.0267506028,0.0055045636,0.0000099393
72.00000000,0.0265964997,0.0054682345,-0.0000256839
78.00000000,0.0266150675,0.0055582356,0.0000030946
84.00000000,0.0265043038,0.0055678021,-0.0000184606
90.00000000,0.0266168540,0.0055630146,0.0000187584
96.00000000,0.0267448079,0.0055387371,0.0000213257
102.00000000,0.0271634815,0.0059360004,0.0000697789
108.00000000,0.0272804374,0.0059007361,0.0000194926
114.00000000,0.0276247579,0.0062231588,0.0000573867
120.00000000,0.0276876249,0.0061857210,0.0000104778
126.00000000,0.0278574510,0.0061664303,0.0000283044
132.00000000,0.0279204896,0.0061808163,0.0000105064
138.00000000,0.0280305602,0.0061492814,0.0000183451
144.00000000,0.0280530848,0.0061100313,0.0000037541
150.00000000,0.0282244965,0.0062125891,0.0000285686
156.00000000,0.0283433556,0.0062907436,0.0000198098
162.00000000,0.0289335952,0.0073073363,0.0000983733
168.00000000,0.0289687848,0.0072212182,0.0000058649
174.00000000,0.0292305275,0.0074261954,0.0000436238
180.00000000,0.0290901961,0.0076810624,-0.0000233886
186.00000000,0.0289847560,0.0077075911,-0.0000175733
192.00000000,0.0290865672,0.0076817958,0.0000169685
198.00000000,0.0291356127,0.0076942850,0.0000081742
204.00000000,0.0291637973,0.0076677904,0.0000046974
210.00000000,0.0291796013,0.0077052357,0.0000026340
216.00000000,0.0292826876,0.0077394346,0.0000171810
