checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0270296401,0.0020390935,0.0000000000
6.00000000,0.0281417815,0.0042348343,0.0001853569
12.00000000,0.0282340454,0.0042429222,0.0000153773
18.00000000,0.0283424061,0.0041856864,0.0000180601
24.00000000,0.0284226869,0.0042344228,0.0000133801
30.00000000,0.0284529223,0.0043329531,0.0000050392
36.00000000,0.0285555645,0.0043018417,0.0000171070
42.00000000,0.0286600447,0.0042439054,0.0000174134
48.00000000,0.0286341725,0.0042179782,-0.0000043120
54.00000000,0.0287653927,0.0042193753,0.0000218700
60.00000000,0.0287956924,0.0042926259,0.0000050499
66.00000000,0.0287932091,0.0043189254,-0.0000004139
72.00000000,0.0288622523,0.0043463805,0.0000115072
78.00000000,0.0288873125,0.0042820664,0.0000041767
84.00000000,0.0289479776,0.0043374077,0.0000101108
90.00000000,0.0289908344,0.0043322816,0.0000071428
96.00000000,0.0290436600,0.0043580473,0.0000088043
102.00000000,0.0290565871,0.0043298343,0.0000021545
108.00000000,0.0290644795,0.0045263570,0.0000013154
114.00000000,0.0291088166,0.0044312089,0.0000073895
120.00000000,0.0291009915,0.0044109961,-0.0000013042
126.00000000,0.0291221113,0.0044149788,0.0000035200
132.00000000,0.0292065464,0.0044329666,0.0000140725
138.00000000,0.0292150650,0.0043970465,0.0000014198
144.00000000,0.0291478619,0.0044620286,-0.0000112005
150.00000000,0.0292174288,0.0044338220,0.0000115945
156.00000000,0.0292284442,0.0044066047,0.0000018359
162.00000000,0.0291931873,0.0044619286,-0.0000058762
168.00000000,0.0291930335,0.0044574756,-0.0000000256
174.00000000,0.0292495829,0.0044383528,0.0000094249
180.00000000,0.0292955154,0.0044389117,0.0000076554
186.00000000,0.0292992010,0.0044643823,0.0000006143
192.00000000,0.0292586787,0.0044411770,-0.0000067537
198.00000000,0.0292660234,0.0045141783,0.0000012241
204.00000000,0.0293091610,0.0044448093,0.0000071896
210.00000000,0.0292765971,0.0044423457,-0.0000054273
216.00000000,0.0292903697,0.0045025698,0.0000022954
222.00000000,0.0292976882,0.0044612935,0.0000012198
228.00000000,0.0293740327,0.0045284117,0.0000127241
234.00000000,0.0293428198,0.0045067362,-0.0000052021
240.00000000,0.0293003870,0.0044302250,-0.0000070721
246.00000000,0.0293788765,0.0045031051,0.0000130816
252.00000000,0.0293477796,0.0045460268,-0.0000051828
258.00000000,0.0293346111,0.0044733821,-0.0000021948
264.00000000,0.0292808163,0.0044987438,-0.0000089658
270.00000000,0.0293640847,0.0044904688,0.0000138781
276.00000000,0.0292718384,0.0045192800,-0.0000153744
282.00000000,0.0293668015,0.0045311303,0.0000158272
288.00000000,0.0293637765,0.0044952376,-0.0000005042
294.00000000,0.0292917014,0.0044852262,-0.0000120125
300.00000000,0.0293873549,0.0045300369,0.0000159423
306.00000000,0.0293097115,0.0045619681,-0.0000129406
312.00000000,0.0293037507,0.0046370425,-0.0000009935
318.00000000,0.0293851070,0.0045063489,0.0000135594
324.00000000,0.0292933604,0.0045106910,-0.0000152911
330.00000000,0.0294143146,0.0046116692,0.0000201590
336.00000000,0.0294083899,0.0045940251,-0.0000009874
342.00000000,0.0293518438,0.0047808853,-0.0000094243
348.00000000,0.0293866204,0.0046228623,0.0000057961
354.00000000,0.0293335854,0.0047013884,-0.0000088392
360.00000000,0.0293885971,0.0046057286,0.0000091686
366.00000000,0.0294078354,0.0047113949,0.0000032064
372.00000000,0.0294248256,0.0046804918,0.0000028317
378.00000000,0.0293826919,0.0046502760,-0.0000070223
384.00000000,0.0293700480,0.0047702552,-0.0000021073
390.00000000,0.0293465978,0.0046489352,-0.0000039084
396.00000000,0.0293927373,0.0046902361,0.0000076899
402.00000000,0.0293841428,0.0047540091,-0.0000014324
408.00000000,0.0293821715,0.0046389828,-0.0000003286
414.00000000,0.0293416500,0.0046315935,-0.0000067536
420.00000000,0.0294313669,0.0046312963,0.0000149528
426.00000000,0.0293513278,0.0046673700,-0.0000133399
432.00000000,0.0293752338,0.0046612841,0.0000039843
438.00000000,0.0293385768,0.0046558471,-0.0000061095
444.00000000,0.0293625387,0.0047361393,0.0000039937
450.00000000,0.0294311095,0.0047977260,0.0000114285
456.00000000,0.0294542391,0.0047902168,0.0000038549
462.00000000,0.0294607626,0.0047929795,0.0000010873
468.00000000,0.0293687860,0.0048466027,-0.0000153294
474.00000000,0.0294240190,0.0048758913,0.0000092055
480.00000000,0.0293871723,0.0047623372,-0.0000061411
486.00000000,0.0294065137,0.0048225603,0.0000032236
492.00000000,0.0293762718,0.0048328549,-0.0000050403
498.00000000,0.0293579626,0.0048298361,-0.0000030515
504.00000000,0.0293749860,0.0048594557,0.0000028372
510.00000000,0.0293343428,0.0048448003,-0.0000067739
516.00000000,0.0294279784,0.0048143533,0.0000156059
522.00000000,0.0294235126,0.0048086240,-0.0000007443
528.00000000,0.0293454060,0.0048336088,-0.0000130178
534.00000000,0.0294253531,0.0047715310,0.0000133245
540.00000000,0.0293663561,0.0048105934,-0.0000098328
546.00000000,0.0293663121,0.0048022233,-0.0000000073
552.00000000,0.0294138803,0.0048101796,0.0000079280
558.00000000,0.0295113705,0.0047949044,0.0000162484
564.00000000,0.0295331133,0.0047667665,0.0000036238
570.00000000,0.0295834920,0.0047588194,0.0000083965
576.00000000,0.0295629172,0.0047731122,-0.0000034291
582.00000000,0.0295599585,0.0048308706,-0.0000004931
588.00000000,0.0296664975,0.0047347054,0.0000177565
594.00000000,0.0296697384,0.0047330752,0.0000005401
600.00000000,0.0296675288,0.0047672315,-0.0000003683
606.00000000,0.0296294817,0.0049054913,-0.0000063412
612.00000000,0.0296806244,0.0047555765,0.0000085238
618.00000000,0.0297156090,0.0047693830,0.0000058308
624.00000000,0.0297560746,0.0047646482,0.0000067443
630.00000000,0.0296651007,0.0047719150,-0.0000151623
636.00000000,0.0297630839,0.0047313271,0.0000163305
642.00000000,0.0297350919,0.0047501243,-0.0000046653
648.00000000,0.0296856677,0.0047286047,-0.0000082374
654.00000000,0.0297284540,0.0048013489,0.0000071310
660.00000000,0.0298332512,0.0047296816,0.0000174662
666.00000000,0.0298312765,0.0048431422,-0.0000003291
672.00000000,0.0297101404,0.0049547520,-0.0000201893
678.00000000,0.0298008778,0.0048078207,0.0000151229
684.00000000,0.0298189013,0.0048148701,0.0000030039
690.00000000,0.0297955411,0.0047595632,-0.0000038934
696.00000000,0.0298740721,0.0047645191,0.0000130885
702.00000000,0.0298944790,0.0047568428,0.0000034011
708.00000000,0.0298260879,0.0048782725,-0.0000113985
714.00000000,0.0298758939,0.0047643295,0.0000083010
720.00000000,0.0298440977,0.0048443702,-0.0000052994
726.00000000,0.0299009478,0.0047603666,0.0000094750
732.00000000,0.0299062909,0.0047845635,0.0000008905
738.00000000,0.0298733001,0.0047925912,-0.0000054985
744.00000000,0.0298092269,0.0048103729,-0.0000106789
750.00000000,0.0298053834,0.0048341823,-0.0000006406
756.00000000,0.0298822524,0.0048248173,0.0000128115
762.00000000,0.0298137920,0.0048085255,-0.0000114101
768.00000000,0.0299015564,0.0047942649,0.0000146274
774.00000000,0.0298695989,0.0048031085,-0.0000053262
780.00000000,0.0298436074,0.0047247588,-0.0000043319
786.00000000,0.0299239786,0.0047784588,0.0000133952
792.00000000,0.0298472770,0.0047410404,-0.0000127836
798.00000000,0.0298840747,0.0047649868,0.0000061329
804.00000000,0.0299249953,0.0047555306,0.0000068201
810.00000000,0.0298229972,0.0047909318,-0.0000169997
816.00000000,0.0298645214,0.0047593368,0.0000069207
822.00000000,0.0298577869,0.0048032574,-0.0000011224
828.00000000,0.0298925173,0.0047214868,0.0000057884
834.00000000,0.0298742637,0.0047682979,-0.0000030423
840.00000000,0.0298866305,0.0048305833,0.0000020611
846.00000000,0.0298661120,0.0047149395,-0.0000034198
852.00000000,0.0298823391,0.0047528400,0.0000027045
858.00000000,0.0298864828,0.0047589014,0.0000006906
864.00000000,0.0299055493,0.0048303249,0.0000031778
870.00000000,0.0298803572,0.0047905365,-0.0000041987
876.00000000,0.0299069365,0.0047859993,0.0000044299
882.00000000,0.0299222751,0.0048348295,0.0000025564
888.00000000,0.0299660956,0.0047749698,0.0000073034
894.00000000,0.0298496762,0.0048392235,-0.0000194032
900.00000000,0.0299110478,0.0048676979,0.0000102286
906.00000000,0.0299582422,0.0049498913,0.0000078657
912.00000000,0.0299248905,0.0048565909,-0.0000055586
918.00000000,0.0299428844,0.0049379651,0.0000029990
924.00000000,0.0299482041,0.0049533077,0.0000008866
930.00000000,0.0299495182,0.0048807507,0.0000002190
936.00000000,0.0298890564,0.0049482866,-0.0000100770
942.00000000,0.0299216532,0.0049305833,0.0000054328
948.00000000,0.0298484980,0.0049775379,-0.0000121925
954.00000000,0.0299840471,0.0049211146,0.0000225915
960.00000000,0.0298760078,0.0050400005,-0.0000180065
966.00000000,0.0299264918,0.0048850390,0.0000084140
972.00000000,0.0299453077,0.0049232870,0.0000031360
978.00000000,0.0299000698,0.0049498232,-0.0000075396
984.00000000,0.0299015516,0.0049015125,0.0000002470
990.00000000,0.0298863891,0.0049224878,-0.0000025271
996.00000000,0.0299326592,0.0048705064,0.0000077117
1002.00000000,0.0299357545,0.0048534767,0.0000005159
1008.00000000,0.0298416387,0.0049273168,-0.0000156860
1014.00000000,0.0299286634,0.0048873162,0.0000145041
1020.00000000,0.0299233920,0.0049447020,-0.0000008786
1026.00000000,0.0299013389,0.0049821530,-0.0000036755
1032.00000000,0.0299425463,0.0049245187,0.0000068679
1038.00000000,0.0299101958,0.0048615859,-0.0000053917
1044.00000000,0.0299108964,0.0048727094,0.0000001168
1050.00000000,0.0299509531,0.0048541477,0.0000066761
1056.00000000,0.0299062887,0.0048834946,-0.0000074441
1062.00000000,0.0299263232,0.0048803858,0.0000033391
1068.00000000,0.0299015187,0.0049345837,-0.0000041341
1074.00000000,0.0299124716,0.0049004206,0.0000018255
1080.00000000,0.0298397328,0.0049780770,-0.0000121231
1086.00000000,0.0298876354,0.0048994922,0.0000079838
1092.00000000,0.0298959385,0.0048755034,0.0000013839
1098.00000000,0.0300351993,0.0050680691,0.0000232101
1104.00000000,0.0298739236,0.0052107270,-0.0000268793
1110.00000000,0.0299931105,0.0050356058,0.0000198645
1116.00000000,0.0299501902,0.0050572440,-0.0000071534
1122.00000000,0.0300221576,0.0050378928,0.0000119946
1128.00000000,0.0299375006,0.0050228418,-0.0000141095
1134.00000000,0.0300164922,0.0050088942,0.0000131653
1140.00000000,0.0299918564,0.0050583326,-0.0000041060
1146.00000000,0.0299239572,0.0050083119,-0.0000113165
1152.00000000,0.0299655824,0.0049803486,0.0000069375
1158.00000000,0.0299158336,0.0050590318,-0.0000082915
1164.00000000,0.0299506804,0.0049904403,0.0000058078
1170.00000000,0.0299561409,0.0049770878,0.0000009101
1176.00000000,0.0298526993,0.0050579623,-0.0000172403
1182.00000000,0.0299332513,0.0050266411,0.0000134253
1188.00000000,0.0299207020,0.0049592735,-0.0000020916
1194.00000000,0.0298965187,0.0050201720,-0.0000040305
1200.00000000,0.0298939201,0.0050509535,-0.0000004331
