checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0270245396,0.0020483669,0.0000000000
6.00000000,0.0278371610,0.0042518903,0.0001354369
12.00000000,0.0277833179,0.0043224982,-0.0000089739
18.00000000,0.0277739588,0.0043116064,-0.0000015598
24.00000000,0.0276423621,0.0042967550,-0.0000219328
30.00000000,0.0276485554,0.0042996366,0.0000010322
36.00000000,0.0275260063,0.0043004173,-0.0000204248
42.00000000,0.0275370804,0.0043452713,0.0000018457
48.00000000,0.0274919234,0.0044158838,-0.0000075262
54.00000000,0.0274091550,0.0044748698,-0.0000137947
60.00000000,0.0273961995,0.0044453623,-0.0000021593
66.00000000,0.0273093878,0.0045505017,-0.0000144686
72.00000000,0.0272801747,0.0044109382,-0.0000048688
78.00000000,0.0271854874,0.0044767161,-0.0000157812
84.00000000,0.0272471872,0.0045962004,0.0000102833
90.00000000,0.0272474174,0.0045560273,0.0000000384
96.00000000,0.0271574095,0.0046106738,-0.0000150013
102.00000000,0.0273754102,0.0046456648,0.0000363334
108.00000000,0.0275662911,0.0045801640,0.0000318135
114.00000000,0.0278039868,0.0045389342,0.0000396160
120.00000000,0.0279057544,0.0045151104,0.0000169613
126.00000000,0.0280813872,0.0044720043,0.0000292721
132.00000000,0.0282560278,0.0044241639,0.0000291068
138.00000000,0.0283207483,0.0043757879,0.0000107868
144.00000000,0.0284952090,0.0044840823,0.0000290768
150.00000000,0.0285816346,0.0044938035,0.0000144043
156.00000000,0.0286630603,0.0044908305,0.0000135710
162.00000000,0.0288013277,0.0043680036,0.0000230446
168.00000000,0.0289069918,0.0043970223,0.0000176107
174.00000000,0.0289763145,0.0043560371,0.0000115538
180.00000000,0.0290360582,0.0043882493,0.0000099573
186.00000000,0.0291221437,0.0043637193,0.0000143476
192.00000000,0.0291929008,0.0043566645,0.0000117929
198.00000000,0.0291868963,0.0043929720,-0.0000010007
204.00000000,0.0292840588,0.0043380802,0.0000161937
210.00000000,0.0293137203,0.0042701274,0.0000049436
216.00000000,0.0293565401,0.0043648266,0.0000071366
