checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0224992982,0.0014446742,0.0000000000
6.00000000,0.0236634840,0.0052272667,0.0001940310
12.00000000,0.0236590859,0.0052205877,-0.0000007330
18.00000000,0.0236562411,0.0052182898,-0.0000004741
24.00000000,0.0237793862,0.0055481321,0.0000205242
30.00000000,0.0238107947,0.0055930140,0.0000052348
36.00000000,0.0238515762,0.0057301344,0.0000067969
42.00000000,0.0238162801,0.0056637901,-0.0000058827
48.00000000,0.0238451892,0.0057712097,0.0000048182
54.00000000,0.0239301067,0.0058254734,0.0000141529
60.00000000,0.0239413136,0.0059145562,0.0000018678
66.00000000,0.0239719794,0.0059584173,0.0000051110
72.00000000,0.0239848258,0.0059802304,0.0000021411
78.00000000,0.0240571560,0.0060247953,0.0000120550
84.00000000,0.0240089334,0.0060772450,-0.0000080371
90.00000000,0.0240199948,0.0060842083,0.0000018436
96.00000000,0.0240069762,0.0060789221,-0.0000021698
102.00000000,0.0240146077,0.0060081736,0.0000012719
108.00000000,0.0240216410,0.0060798721,0.0000011722
114.00000000,0.0240747870,0.0061375756,0.0000088577
120.00000000,0.0240266697,0.0060780867,-0.0000080195
126.00000000,0.0240651040,0.0061294614,0.0000064057
132.00000000,0.0240537699,0.0060643833,-0.0000018890
138.00000000,0.0240870953,0.0060897956,0.0000055542
144.00000000,0.0243027443,0.0065010161,0.0000359415
150.00000000,0.0242894989,0.0064858480,-0.0000022076
156.00000000,0.0242700068,0.0065020108,-0.0000032487
162.00000000,0.0243230223,0.0064968619,0.0000088359
168.00000000,0.0242231275,0.0065300810,-0.0000166491
174.00000000,0.0242421958,0.0064801315,0.0000031780
180.00000000,0.0241679183,0.0064469061,-0.0000123796
186.00000000,0.0242621575,0.0065053871,0.0000157065
192.00000000,0.0243619745,0.0065691173,0.0000166362
198.00000000,0.0242987481,0.0065547422,-0.0000105377
204.00000000,0.0242179544,0.0064783533,-0.0000134656
210.00000000,0.0242490953,0.0065095935,0.0000051902
216.00000000,0.0242597751,0.0064924846,0.0000017800
222.00000000,0.0242656202,0.0065163637,0.0000009742
