checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0224998822,0.0014443448,0.0000000000
6.00000000,0.0235193856,0.0049244202,0.0001699172
12.00000000,0.0235882272,0.0050452053,0.0000114736
18.00000000,0.0235924443,0.0050092260,0.0000007028
24.00000000,0.0235862740,0.0050820962,-0.0000010284
30.00000000,0.0235892770,0.0050381563,0.0000005005
36.00000000,0.0235427032,0.0049463081,-0.0000077623
42.00000000,0.0236076703,0.0050416300,0.0000108279
48.00000000,0.0235818566,0.0050226999,-0.0000043023
54.00000000,0.0235608527,0.0051009933,-0.0000035007
60.00000000,0.0236164991,0.0051212882,0.0000092744
66.00000000,0.0236229910,0.0051231015,0.0000010820
72.00000000,0.0235731496,0.0050965071,-0.0000083069
78.00000000,0.0236593954,0.0051710358,0.0000143743
84.00000000,0.0236745309,0.0052462075,0.0000025226
90.00000000,0.0238054369,0.0055399340,0.0000218177
96.00000000,0.0237959586,0.0055759892,-0.0000015797
102.00000000,0.0238107592,0.0056531096,0.0000024668
108.00000000,0.0238269769,0.0056718647,0.0000027030
114.00000000,0.0237966481,0.0057161864,-0.0000050548
120.00000000,0.0239201512,0.0058227037,0.0000205839
126.00000000,0.0239234152,0.0058314138,0.0000005440
132.00000000,0.0238840521,0.0057975439,-0.0000065605
138.00000000,0.0239571609,0.0058784155,0.0000121848
144.00000000,0.0239123860,0.0058715656,-0.0000074625
150.00000000,0.0239203656,0.0057937987,0.0000013299
156.00000000,0.0239331303,0.0059076337,0.0000021274
162.00000000,0.0239370580,0.0058058559,0.0000006546
168.00000000,0.0239806211,0.0059135852,0.0000072605
174.00000000,0.0239676410,0.0059622882,-0.0000021634
180.00000000,0.0239287233,0.0059203805,-0.0000064863
186.00000000,0.0239825686,0.0059921584,0.0000089742
192.00000000,0.0240125743,0.0059877136,0.0000050010
198.00000000,0.0241028513,0.0061583487,0.0000150462
204.00000000,0.0240690011,0.0060765099,-0.0000056417
210.00000000,0.0240049884,0.0059952049,-0.0000106688
216.00000000,0.0240254509,0.0059981698,0.0000034104
222.00000000,0.0241252823,0.0061408265,0.0000166386
228.00000000,0.0240037273,0.0060119180,-0.0000202592
234.00000000,0.0240286959,0.0060635474,0.0000041614
240.00000000,0.0239963497,0.0060286679,-0.0000053910
246.00000000,0.0239677954,0.0061347951,-0.0000047590
252.00000000,0.0239690461,0.0061351656,0.0000002084
258.00000000,0.0239820509,0.0061191883,0.0000021675
264.00000000,0.0240411904,0.0061903865,0.0000098566
270.00000000,0.0241805304,0.0071840464,0.0000232233
276.00000000,0.0242736540,0.0072889412,0.0000155206
282.00000000,0.0242627877,0.0072511408,-0.0000018110
288.00000000,0.0242178023,0.0072336903,-0.0000074976
294.00000000,0.0241936768,0.0072632857,-0.0000040209
300.00000000,0.0245084510,0.0075346577,0.0000524624
306.00000000,0.0244707018,0.0074583544,-0.0000062915
312.00000000,0.0246668990,0.0075684688,0.0000326995
318.00000000,0.0246883392,0.0076642086,0.0000035734
324.00000000,0.0246982188,0.0076245757,0.0000016466
330.00000000,0.0246742880,0.0076669114,-0.0000039885
336.00000000,0.0246948966,0.0076650216,0.0000034348
342.00000000,0.0246772496,0.0076770866,-0.0000029412
348.00000000,0.0246875149,0.0076366245,0.0000017109
354.00000000,0.0246546234,0.0077016277,-0.0000054819
360.00000000,0.0246591763,0.0076415907,0.0000007588
366.00000000,0.0246831458,0.0076578218,0.0000039949
372.00000000,0.0247177682,0.0077333943,0.0000057704
378.00000000,0.0246934800,0.0077091659,-0.0000040480
384.00000000,0.0247484261,0.0077168912,0.0000091577
390.00000000,0.0248080663,0.0078172423,0.0000099400
396.00000000,0.0248054323,0.0077737996,-0.0000004390
402.00000000,0.0247542066,0.0077865288,-0.0000085376
408.00000000,0.0248005261,0.0077874949,0.0000077199
414.00000000,0.0247909490,0.0078032962,-0.0000015962
420.00000000,0.0247870424,0.0077955914,-0.0000006511
426.00000000,0.0247503243,0.0077599110,-0.0000061197
432.00000000,0.0248917530,0.0078216964,0.0000235714
438.00000000,0.0247651301,0.0077304472,-0.0000211038
444.00000000,0.0248913656,0.0077859232,0.0000210393
450.00000000,0.0249547279,0.0078547443,0.0000105604
456.00000000,0.0248464088,0.0077982584,-0.0000180532
462.00000000,0.0248996816,0.0078237669,0.0000088788
468.00000000,0.0250293328,0.0079825648,0.0000216085
474.00000000,0.0250604561,0.0079638584,0.0000051872
480.00000000,0.0249885878,0.0079639910,-0.0000119781
486.00000000,0.0249837665,0.0079824918,-0.0000008036
492.00000000,0.0249715401,0.0079317416,-0.0000020377
498.00000000,0.0249227943,0.0079256409,-0.0000081243
504.00000000,0.0248748858,0.0078612931,-0.0000079848
510.00000000,0.0248752296,0.0078490334,0.0000000573
516.00000000,0.0248616204,0.0078483940,-0.0000022682
522.00000000,0.0249180265,0.0078814282,0.0000094010
528.00000000,0.0250853328,0.0079548608,0.0000278844
534.00000000,0.0251163766,0.0079554084,0.0000051740
540.00000000,0.0251481531,0.0080015267,0.0000052961
546.00000000,0.0250565730,0.0080368354,-0.0000152634
552.00000000,0.0250374967,0.0080480940,-0.0000031794
558.00000000,0.0250092204,0.0079660412,-0.0000047127
564.00000000,0.0249889960,0.0080249199,-0.0000033707
570.00000000,0.0251129681,0.0081001223,0.0000206620
576.00000000,0.0250788767,0.0080148481,-0.0000056819
582.00000000,0.0261983757,0.0088217704,0.0001865832
588.00000000,0.0260329997,0.0086161098,-0.0000275627
594.00000000,0.0258574691,0.0086795324,-0.0000292551
600.00000000,0.0261283600,0.0089469055,0.0000451485
606.00000000,0.0261555930,0.0089091868,0.0000045388
612.00000000,0.0261349835,0.0089486976,-0.0000034349
618.00000000,0.0261021222,0.0089033969,-0.0000054769
624.00000000,0.0261612599,0.0089965897,0.0000098563
630.00000000,0.0259793708,0.0089690192,-0.0000303149
636.00000000,0.0260521223,0.0090019845,0.0000121253
642.00000000,0.0259062652,0.0089546384,-0.0000243095
648.00000000,0.0258156568,0.0089895922,-0.0000151014
654.00000000,0.0258180152,0.0089938596,0.0000003931
660.00000000,0.0258922393,0.0090473418,0.0000123707
666.00000000,0.0259226822,0.0090273978,0.0000050738
672.00000000,0.0260154011,0.0090842199,0.0000154531
678.00000000,0.0260387624,0.0091050809,0.0000038936
684.00000000,0.0262097714,0.0091266506,0.0000285015
690.00000000,0.0263955730,0.0092020898,0.0000309669
696.00000000,0.0262262147,0.0091260815,-0.0000282264
702.00000000,0.0263168999,0.0091345288,0.0000151142
708.00000000,0.0262810702,0.0091224730,-0.0000059716
714.00000000,0.0263355420,0.0091833111,0.0000090786
720.00000000,0.0262139337,0.0091699937,-0.0000202680
726.00000000,0.0264896084,0.0093569250,0.0000459458
732.00000000,0.0264701620,0.0092222289,-0.0000032411
738.00000000,0.0263129526,0.0092304424,-0.0000262016
744.00000000,0.0262350906,0.0091812480,-0.0000129770
750.00000000,0.0262114315,0.0091655678,-0.0000039432
756.00000000,0.0261718917,0.0091629127,-0.0000065900
762.00000000,0.0262511657,0.0092409614,0.0000132123
768.00000000,0.0263012887,0.0092370785,0.0000083538
774.00000000,0.0262310515,0.0091606302,-0.0000117062
780.00000000,0.0264077810,0.0092573335,0.0000294549
786.00000000,0.0263529699,0.0092281100,-0.0000091352
792.00000000,0.0263741765,0.0092764742,0.0000035344
798.00000000,0.0266419041,0.0092803324,0.0000446213
804.00000000,0.0266760747,0.0093290596,0.0000056951
810.00000000,0.0266085871,0.0092511244,-0.0000112479
816.00000000,0.0265577007,0.0092496246,-0.0000084811
822.00000000,0.0263496283,0.0091783593,-0.0000346787
828.00000000,0.0262342888,0.0091227004,-0.0000192232
834.00000000,0.0261022996,0.0091883791,-0.0000219982
840.00000000,0.0264515636,0.0093158140,0.0000582107
846.00000000,0.0264832986,0.0093412318,0.0000052892
852.00000000,0.0263907752,0.0093262462,-0.0000154206
858.00000000,0.0263598860,0.0092487236,-0.0000051482
864.00000000,0.0260723098,0.0091679051,-0.0000479294
870.00000000,0.0261501205,0.0092590716,0.0000129684
876.00000000,0.0261329864,0.0092329384,-0.0000028557
882.00000000,0.0261014060,0.0091858942,-0.0000052634
888.00000000,0.0261988657,0.0092147486,0.0000162433
894.00000000,0.0262320221,0.0092465955,0.0000055261
900.00000000,0.0262012232,0.0092251524,-0.0000051332
906.00000000,0.0262167446,0.0092468320,0.0000025869
912.00000000,0.0261771279,0.0092337662,-0.0000066028
918.00000000,0.0262060617,0.0092972325,0.0000048223
924.00000000,0.0264333921,0.0093885169,0.0000378884
930.00000000,0.0261871813,0.0092033026,-0.0000410351
936.00000000,0.0262043384,0.0092087220,0.0000028595
942.00000000,0.0262305955,0.0092092484,0.0000043762
948.00000000,0.0261692654,0.0092033432,-0.0000102217
954.00000000,0.0261300417,0.0092382675,-0.0000065373
960.00000000,0.0262794011,0.0093172740,0.0000248932
966.00000000,0.0263125494,0.0093275110,0.0000055247
972.00000000,0.0263020397,0.0092948609,-0.0000017516
978.00000000,0.0263002896,0.0092825060,-0.0000002917
984.00000000,0.0263126205,0.0092880748,0.0000020552
990.00000000,0.0262214249,0.0092194375,-0.0000151993
996.00000000,0.0263035204,0.0092878399,0.0000136826
1002.00000000,0.0262195869,0.0092705755,-0.0000139889
1008.00000000,0.0261028714,0.0092154599,-0.0000194526
1014.00000000,0.0261281576,0.0092479182,0.0000042144
1020.00000000,0.0261586671,0.0092983591,0.0000050849
1026.00000000,0.0260947613,0.0092331381,-0.0000106510
1032.00000000,0.0261129818,0.0092531819,0.0000030367
1038.00000000,0.0261152126,0.0092511658,0.0000003718
1044.00000000,0.0261280026,0.0092103859,0.0000021317
1050.00000000,0.0261811196,0.0093319440,0.0000088528
1056.00000000,0.0261738456,0.0093301416,-0.0000012123
1062.00000000,0.0261349737,0.0093194535,-0.0000064787
1068.00000000,0.0261319462,0.0093073407,-0.0000005046
1074.00000000,0.0260759679,0.0092757695,-0.0000093297
