checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0254932051,0.0017445486,0.0000000000
6.00000000,0.0278272659,0.0085266742,0.0003890101
12.00000000,0.0281721655,0.0090678713,0.0000574833
18.00000000,0.0290721770,0.0116069049,0.0001500019
24.00000000,0.0299607518,0.0117184094,0.0001480958
30.00000000,0.0302102554,0.0118833617,0.0000415839
36.00000000,0.0307174764,0.0120290931,0.0000845368
42.00000000,0.0306530389,0.0124439048,-0.0000107396
48.00000000,0.0306763928,0.0125900732,0.0000038923
54.00000000,0.0309238154,0.0123900161,0.0000412371
60.00000000,0.0298232274,0.0130043289,-0.0001834313
66.00000000,0.0305111387,0.0130571141,0.0001146519
72.00000000,0.0304386803,0.0129313640,-0.0000120764
78.00000000,0.0303101269,0.0130947343,-0.0000214256
84.00000000,0.0306791981,0.0128364661,0.0000615119
90.00000000,0.0311863565,0.0126463297,0.0000845264
96.00000000,0.0308321944,0.0127875982,-0.0000590270
102.00000000,0.0307813250,0.0126949809,-0.0000084782
108.00000000,0.0310911186,0.0125212932,0.0000516323
114.00000000,0.0310839061,0.0125377776,-0.0000012021
120.00000000,0.0308827030,0.0128877617,-0.0000335339
126.00000000,0.0305465995,0.0129931253,-0.0000560172
132.00000000,0.0308419419,0.0131663126,0.0000492237
138.00000000,0.0312225051,0.0129766302,0.0000634272
144.00000000,0.0308298113,0.0132184622,-0.0000654490
150.00000000,0.0306591383,0.0132656258,-0.0000284455
156.00000000,0.0310216816,0.0130365181,0.0000604239
162.00000000,0.0311078515,0.0129129159,0.0000143616
168.00000000,0.0310476132,0.0129591280,-0.0000100397
174.00000000,0.0310556225,0.0130186194,0.0000013349
180.00000000,0.0313932581,0.0127922793,0.0000562726
186.00000000,0.0310368319,0.0129922831,-0.0000594044
192.00000000,0.0313180787,0.0127555268,0.0000468745
198.00000000,0.0314098408,0.0126164954,0.0000152937
204.00000000,0.0314776322,0.0126647979,0.0000112986
210.00000000,0.0312795453,0.0126482398,-0.0000330145
216.00000000,0.0313434204,0.0125160219,0.0000106458
