checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0262395616,0.0018904006,0.0000000000
6.00000000,0.0317324771,0.0138360006,0.0009154859
12.00000000,0.0333859307,0.0130864573,0.0002755756
18.00000000,0.0326887051,0.0136253646,-0.0001162043
24.00000000,0.0338125534,0.0130161011,0.0001873081
30.00000000,0.0331142125,0.0136376551,-0.0001163901
36.00000000,0.0327534138,0.0134757478,-0.0000601331
42.00000000,0.0325783797,0.0138421515,-0.0000291723
48.00000000,0.0333222614,0.0133703903,0.0001239803
54.00000000,0.0331820293,0.0133661491,-0.0000233720
60.00000000,0.0325876702,0.0137556739,-0.0000990598
66.00000000,0.0326821266,0.0135424280,0.0000157427
72.00000000,0.0323005447,0.0139374029,-0.0000635970
78.00000000,0.0330361049,0.0133423173,0.0001225934
84.00000000,0.0332969700,0.0130801845,0.0000434775
90.00000000,0.0331424720,0.0134831156,-0.0000257497
96.00000000,0.0329822886,0.0136699921,-0.0000266972
102.00000000,0.0326808951,0.0134237242,-0.0000502323
108.00000000,0.0338206340,0.0132730707,0.0001899565
114.00000000,0.0333647106,0.0132147737,-0.0000759872
120.00000000,0.0328423717,0.0136190378,-0.0000870565
126.00000000,0.0338350808,0.0130122380,0.0001654515
132.00000000,0.0333192725,0.0134950128,-0.0000859680
138.00000000,0.0329644063,0.0134664681,-0.0000591444
144.00000000,0.0334706026,0.0130679721,0.0000843660
150.00000000,0.0331917902,0.0134891970,-0.0000464687
156.00000000,0.0338250628,0.0131421848,0.0001055454
162.00000000,0.0321302206,0.0140059544,-0.0002824737
168.00000000,0.0334533809,0.0133642403,0.0002205267
174.00000000,0.0324190132,0.0138328786,-0.0001723946
180.00000000,0.0334348289,0.0133831893,0.0001693026
186.00000000,0.0325375768,0.0136205573,-0.0001495420
192.00000000,0.0333512187,0.0135324585,0.0001356070
198.00000000,0.0334918679,0.0132374449,0.0000234415
204.00000000,0.0332242016,0.0135388587,-0.0000446111
210.00000000,0.0327161526,0.0136889403,-0.0000846748
216.00000000,0.0332189011,0.0132344720,0.0000837914
