checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0254926185,0.0017426749,0.0000000000
6.00000000,0.0269870517,0.0060641122,0.0002490722
12.00000000,0.0270215217,0.0062375819,0.0000057450
18.00000000,0.0272132687,0.0068561000,0.0000319578
24.00000000,0.0271340784,0.0073701708,-0.0000131984
30.00000000,0.0273973663,0.0077724590,0.0000438813
36.00000000,0.0274045503,0.0081094685,0.0000011973
42.00000000,0.0279623006,0.0092469136,0.0000929584
48.00000000,0.0287572888,0.0097282909,0.0001324980
54.00000000,0.0286174015,0.0097546892,-0.0000233146
60.00000000,0.0288321875,0.0101815392,0.0000357977
66.00000000,0.0286853195,0.0101945836,-0.0000244780
72.00000000,0.0292003993,0.0104276866,0.0000858466
78.00000000,0.0291596599,0.0104554938,-0.0000067899
84.00000000,0.0290331511,0.0107296429,-0.0000210848
90.00000000,0.0291685045,0.0106771781,0.0000225589
96.00000000,0.0287863025,0.0107374488,-0.0000637003
102.00000000,0.0288828504,0.0108876457,0.0000160913
108.00000000,0.0291340154,0.0108782881,0.0000418608
114.00000000,0.0290722864,0.0111281460,-0.0000102882
120.00000000,0.0290389196,0.0110896398,-0.0000055611
126.00000000,0.0291725103,0.0110201349,0.0000222651
132.00000000,0.0294087158,0.0109536998,0.0000393676
138.00000000,0.0292704170,0.0114609586,-0.0000230498
144.00000000,0.0292194141,0.0113220860,-0.0000085005
150.00000000,0.0290909205,0.0113431949,-0.0000214156
156.00000000,0.0292513126,0.0113611201,0.0000267320
162.00000000,0.0291765716,0.0112780639,-0.0000124568
168.00000000,0.0294586849,0.0113156125,0.0000470189
174.00000000,0.0294048784,0.0112807769,-0.0000089677
180.00000000,0.0296011206,0.0112331088,0.0000327070
186.00000000,0.0296054839,0.0112942821,0.0000007272
192.00000000,0.0295065364,0.0114564264,-0.0000164913
198.00000000,0.0297454514,0.0114240686,0.0000398192
204.00000000,0.0295944878,0.0113119999,-0.0000251606
210.00000000,0.0294430776,0.0112334623,-0.0000252350
216.00000000,0.0293820297,0.0113057716,-0.0000101747
