checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0247402532,0.0016215878,0.0000000000
6.00000000,0.0255744656,0.0043603166,0.0001390354
12.00000000,0.0255628710,0.0044739192,-0.0000019324
18.00000000,0.0256304437,0.0045223918,0.0000112621
24.00000000,0.0255684249,0.0037663831,-0.0000103365
30.00000000,0.0257571276,0.0045681067,0.0000314504
36.00000000,0.0257904517,0.0046006059,0.0000055540
42.00000000,0.0257493964,0.0045932008,-0.0000068425
48.00000000,0.0256577271,0.0038715154,-0.0000152782
54.00000000,0.0258381306,0.0044961586,0.0000300673
60.00000000,0.0257771927,0.0046175524,-0.0000101563
66.00000000,0.0258462733,0.0047187757,0.0000115134
72.00000000,0.0256405845,0.0040811037,-0.0000342815
78.00000000,0.0258825992,0.0046260215,0.0000403358
84.00000000,0.0257906010,0.0045687015,-0.0000153330
90.00000000,0.0258185179,0.0046654536,0.0000046528
96.00000000,0.0256666050,0.0040101370,-0.0000253188
102.00000000,0.0258029854,0.0046191013,0.0000227301
108.00000000,0.0258650183,0.0047141548,0.0000103388
114.00000000,0.0259440667,0.0048148810,0.0000131747
120.00000000,0.0258444982,0.0041440643,-0.0000165948
126.00000000,0.0261551036,0.0046816388,0.0000517676
132.00000000,0.0261647809,0.0046666895,0.0000016129
138.00000000,0.0262877987,0.0046821787,0.0000205030
144.00000000,0.0261267517,0.0040708574,-0.0000268412
150.00000000,0.0264200114,0.0046260305,0.0000488766
156.00000000,0.0265176448,0.0049076490,0.0000162722
162.00000000,0.0264196318,0.0046958604,-0.0000163355
168.00000000,0.0262937422,0.0040366970,-0.0000209816
174.00000000,0.0265156424,0.0046243072,0.0000369834
180.00000000,0.0266233214,0.0047635150,0.0000179465
186.00000000,0.0264943057,0.0047043708,-0.0000215026
192.00000000,0.0263918853,0.0040726538,-0.0000170701
198.00000000,0.0265346664,0.0046237721,0.0000237969
204.00000000,0.0266589756,0.0047906432,0.0000207182
210.00000000,0.0265587198,0.0047327450,-0.0000167093
216.00000000,0.0264391227,0.0041089210,-0.0000199328
