checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0247459608,0.0016214446,0.0000000000
6.00000000,0.0255098767,0.0043512078,0.0001273193
12.00000000,0.0255764148,0.0044119234,0.0000110897
18.00000000,0.0255536127,0.0046181401,-0.0000038003
24.00000000,0.0254740959,0.0037775830,-0.0000132528
30.00000000,0.0256444083,0.0044069171,0.0000283854
36.00000000,0.0257281254,0.0046235436,0.0000139528
42.00000000,0.0256567488,0.0045931571,-0.0000118961
48.00000000,0.0255635448,0.0039118773,-0.0000155340
54.00000000,0.0256821705,0.0044699509,0.0000197709
60.00000000,0.0256997573,0.0045852526,0.0000029311
66.00000000,0.0257224953,0.0047856280,0.0000037897
72.00000000,0.0255662719,0.0039828565,-0.0000260372
78.00000000,0.0257056838,0.0046807471,0.0000232353
84.00000000,0.0257317096,0.0047410277,0.0000043376
90.00000000,0.0258737535,0.0047686461,0.0000236740
96.00000000,0.0258177265,0.0040704765,-0.0000093378
102.00000000,0.0260925868,0.0046888106,0.0000458101
108.00000000,0.0261428877,0.0046906618,0.0000083835
114.00000000,0.0262022598,0.0047533336,0.0000098954
120.00000000,0.0261169741,0.0040243732,-0.0000142143
126.00000000,0.0263095901,0.0045716860,0.0000321027
132.00000000,0.0263800323,0.0046019909,0.0000117404
138.00000000,0.0264727800,0.0047726901,0.0000154579
144.00000000,0.0262829194,0.0040014635,-0.0000316434
150.00000000,0.0264625610,0.0045588138,0.0000299403
156.00000000,0.0265007727,0.0046211877,0.0000063686
162.00000000,0.0266466443,0.0047983459,0.0000243119
168.00000000,0.0263969518,0.0039801881,-0.0000416154
