checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0225079284,0.0014415349,0.0000000000
6.00000000,0.0236088445,0.0050913509,0.0001834860
12.00000000,0.0236124762,0.0051456806,0.0000006053
18.00000000,0.0236649436,0.0052032327,0.0000087446
24.00000000,0.0236423656,0.0051398495,-0.0000037630
30.00000000,0.0236725683,0.0052032150,0.0000050338
36.00000000,0.0237020168,0.0053114345,0.0000049081
42.00000000,0.0236805862,0.0053860642,-0.0000035718
48.00000000,0.0236884801,0.0053294872,0.0000013157
54.00000000,0.0237379833,0.0053727334,0.0000082505
60.00000000,0.0237071228,0.0053605586,-0.0000051434
66.00000000,0.0237133551,0.0053523253,0.0000010387
72.00000000,0.0237488841,0.0054436513,0.0000059215
78.00000000,0.0238132071,0.0056306291,0.0000107205
84.00000000,0.0239283226,0.0058814689,0.0000191859
90.00000000,0.0239019356,0.0058455508,-0.0000043978
96.00000000,0.0239177628,0.0058886253,0.0000026379
