checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0225024389,0.0014403441,0.0000000000
6.00000000,0.0236056821,0.0050761286,0.0001838739
12.00000000,0.0235772654,0.0050849661,-0.0000047361
18.00000000,0.0235307127,0.0049915192,-0.0000077588
24.00000000,0.0235702439,0.0050333859,0.0000065885
30.00000000,0.0235692227,0.0050477033,-0.0000001702
36.00000000,0.0235948088,0.0051868692,0.0000042644
42.00000000,0.0236642001,0.0052635157,0.0000115652
48.00000000,0.0236276621,0.0051582005,-0.0000060897
54.00000000,0.0236861737,0.0053129707,0.0000097519
60.00000000,0.0236541431,0.0052711276,-0.0000053384
66.00000000,0.0236322247,0.0052064495,-0.0000036531
72.00000000,0.0237018695,0.0053211177,0.0000116075
78.00000000,0.0236482983,0.0052414687,-0.0000089285
84.00000000,0.0237496547,0.0054044222,0.0000168927
90.00000000,0.0237311866,0.0054056295,-0.0000030780
96.00000000,0.0236707236,0.0053119261,-0.0000100772
102.00000000,0.0237514015,0.0053985863,0.0000134463
108.00000000,0.0237134083,0.0053647560,-0.0000063322
114.00000000,0.0237212918,0.0054384455,0.0000013139
120.00000000,0.0237002218,0.0053379640,-0.0000035117
126.00000000,0.0237208414,0.0053699747,0.0000034366
132.00000000,0.0236345338,0.0052787356,-0.0000143846
138.00000000,0.0236812704,0.0053198030,0.0000077894
144.00000000,0.0237709618,0.0054881714,0.0000149486
