checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0262239399,0.0019044349,0.0000000000
6.00000000,0.0264195413,0.0040658860,0.0000326002
12.00000000,0.0262908312,0.0041446681,-0.0000214517
18.00000000,0.0261640771,0.0042145720,-0.0000211257
24.00000000,0.0261227630,0.0042461200,-0.0000068857
30.00000000,0.0260597330,0.0042820114,-0.0000105050
36.00000000,0.0259480103,0.0046400592,-0.0000186205
42.00000000,0.0260001438,0.0050982951,0.0000086889
48.00000000,0.0259126724,0.0052419321,-0.0000145786
54.00000000,0.0258625232,0.0052762672,-0.0000083582
60.00000000,0.0257901598,0.0053176084,-0.0000120606
66.00000000,0.0256838798,0.0053769505,-0.0000177133
72.00000000,0.0258254672,0.0056768051,0.0000235979
78.00000000,0.0257842586,0.0059714771,-0.0000068681
84.00000000,0.0255646748,0.0061945577,-0.0000365973
90.00000000,0.0255728288,0.0065990147,0.0000013590
96.00000000,0.0256715010,0.0069942919,0.0000164454
102.00000000,0.0256569220,0.0070075514,-0.0000024298
108.00000000,0.0255648491,0.0070197587,-0.0000153455
114.00000000,0.0255746691,0.0071558512,0.0000016367
120.00000000,0.0255611575,0.0071886665,-0.0000022519
126.00000000,0.0255228374,0.0073031256,-0.0000063867
132.00000000,0.0256035904,0.0073016526,0.0000134588
138.00000000,0.0257152172,0.0073336356,0.0000186045
144.00000000,0.0258081401,0.0073937713,0.0000154872
150.00000000,0.0258803737,0.0073487335,0.0000120389
156.00000000,0.0259615426,0.0073919539,0.0000135281
162.00000000,0.0260217230,0.0073508992,0.0000100301
168.00000000,0.0261191322,0.0073389100,0.0000162349
174.00000000,0.0261494719,0.0074163115,0.0000050566
180.00000000,0.0262381193,0.0074687101,0.0000147746
186.00000000,0.0262754469,0.0074797628,0.0000062213
192.00000000,0.0263586163,0.0074724610,0.0000138616
198.00000000,0.0263906007,0.0075097062,0.0000053307
204.00000000,0.0264555914,0.0075222416,0.0000108318
210.00000000,0.0264763557,0.0075416201,0.0000034607
216.00000000,0.0264745608,0.0075311320,-0.0000002992
222.00000000,0.0265901760,0.0075217630,0.0000192692
228.00000000,0.0267491346,0.0076768870,0.0000264931
234.00000000,0.0267317876,0.0076791490,-0.0000028912
240.00000000,0.0266897880,0.0077243848,-0.0000069999
246.00000000,0.0267880898,0.0078566752,0.0000163836
252.00000000,0.0269124426,0.0078881733,0.0000207255
258.00000000,0.0268692281,0.0079015174,-0.0000072024
264.00000000,0.0269496383,0.0079245793,0.0000134017
270.00000000,0.0269825711,0.0079825040,0.0000054888
276.00000000,0.0270314121,0.0079887117,0.0000081402
282.00000000,0.0270347124,0.0079982361,0.0000005501
288.00000000,0.0269813911,0.0082660451,-0.0000088869
294.00000000,0.0273613806,0.0085539640,0.0000633316
300.00000000,0.0274416931,0.0085877232,0.0000133854
306.00000000,0.0273292180,0.0086150360,-0.0000187458
312.00000000,0.0273527413,0.0087090050,0.0000039205
318.00000000,0.0273254085,0.0086746761,-0.0000045555
324.00000000,0.0273761017,0.0088429223,0.0000084489
330.00000000,0.0275025266,0.0088578305,0.0000210708
336.00000000,0.0274112952,0.0088841860,-0.0000152052
342.00000000,0.0275043460,0.0088882367,0.0000155085
348.00000000,0.0274696631,0.0090050068,-0.0000057805
354.00000000,0.0274160929,0.0089646591,-0.0000089284
360.00000000,0.0273934514,0.0089446686,-0.0000037736
