checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0239831782,0.0015243542,0.0000000000
6.00000000,0.0229469508,0.0097953122,-0.0001727046
12.00000000,0.0229589882,0.0098424368,0.0000020062
18.00000000,0.0230567478,0.0099779796,0.0000162933
24.00000000,0.0231667046,0.0103141661,0.0000183261
30.00000000,0.0231947842,0.0103575433,0.0000046799
36.00000000,0.0231866690,0.0103907420,-0.0000013525
42.00000000,0.0231475273,0.0107131983,-0.0000065236
48.00000000,0.0232428625,0.0107444747,0.0000158892
54.00000000,0.0232118897,0.0107771505,-0.0000051621
60.00000000,0.0231868991,0.0108125325,-0.0000041651
66.00000000,0.0233026380,0.0109459540,0.0000192898
72.00000000,0.0233035087,0.0109777910,0.0000001451
78.00000000,0.0233603037,0.0109960014,0.0000094658
84.00000000,0.0233575955,0.0110323480,-0.0000004514
90.00000000,0.0234435240,0.0110525231,0.0000143214
96.00000000,0.0234795286,0.0110716339,0.0000060008
102.00000000,0.0235279698,0.0111204702,0.0000080735
108.00000000,0.0235429764,0.0111271824,0.0000025011
114.00000000,0.0235727512,0.0111374144,0.0000049625
120.00000000,0.0236333758,0.0111629021,0.0000101041
126.00000000,0.0236151539,0.0111740717,-0.0000030370
132.00000000,0.0236335855,0.0112022523,0.0000030719
138.00000000,0.0236632619,0.0112251259,0.0000049461
144.00000000,0.0236850165,0.0112653546,0.0000036258
150.00000000,0.0236822629,0.0112627266,-0.0000004589
156.00000000,0.0238172147,0.0114842677,0.0000224920
162.00000000,0.0238284885,0.0115243634,0.0000018790
168.00000000,0.0238224718,0.0115323674,-0.0000010028
174.00000000,0.0238734731,0.0115522368,0.0000085002
180.00000000,0.0238487060,0.0115612959,-0.0000041279
186.00000000,0.0238812536,0.0115624821,0.0000054246
192.00000000,0.0239476373,0.0115765857,0.0000110640
198.00000000,0.0239313974,0.0115848819,-0.0000027067
204.00000000,0.0239043070,0.0115885213,-0.0000045151
210.00000000,0.0238974894,0.0115994900,-0.0000011363
216.00000000,0.0238895325,0.0116260070,-0.0000013261
222.00000000,0.0239431993,0.0116226743,0.0000089445
228.00000000,0.0239151336,0.0116342826,-0.0000046776
234.00000000,0.0238812323,0.0117562852,-0.0000056502
240.00000000,0.0239125803,0.0117638120,0.0000052247
246.00000000,0.0239288528,0.0117691691,0.0000027121
252.00000000,0.0239067483,0.0117858529,-0.0000036841
258.00000000,0.0239021006,0.0117985539,-0.0000007746
264.00000000,0.0239326865,0.0117958136,0.0000050976
270.00000000,0.0239401764,0.0118303011,0.0000012483
276.00000000,0.0239376389,0.0118164575,-0.0000004229
282.00000000,0.0240114927,0.0119326902,0.0000123090
288.00000000,0.0240380117,0.0119401288,0.0000044198
294.00000000,0.0241305748,0.0119461472,0.0000154272
300.00000000,0.0240899782,0.0119495736,-0.0000067661
306.00000000,0.0241384664,0.0119582680,0.0000080814
312.00000000,0.0241434543,0.0119566359,0.0000008313
318.00000000,0.0241892683,0.0119882498,0.0000076357
324.00000000,0.0241881344,0.0119790028,-0.0000001890
330.00000000,0.0241686832,0.0119917975,-0.0000032419
336.00000000,0.0242420862,0.0119948484,0.0000122338
342.00000000,0.0242805573,0.0119982541,0.0000064119
348.00000000,0.0242463181,0.0120182375,-0.0000057065
354.00000000,0.0242823160,0.0120126482,0.0000059997
360.00000000,0.0242755311,0.0120352569,-0.0000011308
366.00000000,0.0243286706,0.0120254405,0.0000088566
372.00000000,0.0243465147,0.0120523442,0.0000029740
378.00000000,0.0243819303,0.0120563863,0.0000059026
384.00000000,0.0243634536,0.0120589967,-0.0000030794
390.00000000,0.0243894721,0.0120569116,0.0000043364
396.00000000,0.0243972552,0.0120700128,0.0000012972
402.00000000,0.0244162322,0.0120812314,0.0000031628
408.00000000,0.0244040023,0.0120837691,-0.0000020383
414.00000000,0.0244603821,0.0120764485,0.0000093966
420.00000000,0.0244795197,0.0120810684,0.0000031896
426.00000000,0.0244434441,0.0120904131,-0.0000060126
432.00000000,0.0244776041,0.0120911691,0.0000056933
438.00000000,0.0244530659,0.0120973660,-0.0000040897
444.00000000,0.0244743412,0.0121023666,0.0000035459
450.00000000,0.0247063498,0.0121045795,0.0000386681
456.00000000,0.0246973296,0.0121693854,-0.0000015034
462.00000000,0.0245998507,0.0121853632,-0.0000162465
468.00000000,0.0245969957,0.0121930771,-0.0000004758
474.00000000,0.0245712833,0.0122205808,-0.0000042854
480.00000000,0.0245787908,0.0122138578,0.0000012513
486.00000000,0.0246326409,0.0122131547,0.0000089750
492.00000000,0.0245329366,0.0122381617,-0.0000166174
498.00000000,0.0245831418,0.0122160341,0.0000083675
504.00000000,0.0245842913,0.0122221322,0.0000001916
510.00000000,0.0245851777,0.0122303089,0.0000001477
516.00000000,0.0244577456,0.0123399553,-0.0000212387
522.00000000,0.0243996754,0.0123490470,-0.0000096784
528.00000000,0.0244423607,0.0123411385,0.0000071142
534.00000000,0.0244849973,0.0123431509,0.0000071061
540.00000000,0.0245258010,0.0123674971,0.0000068006
546.00000000,0.0244834811,0.0123508088,-0.0000070533
552.00000000,0.0244808179,0.0123631324,-0.0000004439
558.00000000,0.0245152764,0.0123682907,0.0000057431
564.00000000,0.0244581332,0.0123874673,-0.0000095239
570.00000000,0.0244754018,0.0123726167,0.0000028781
576.00000000,0.0245118731,0.0123756190,0.0000060786
582.00000000,0.0245253164,0.0123669038,0.0000022406
588.00000000,0.0245491630,0.0123880155,0.0000039744
594.00000000,0.0245616455,0.0124008807,0.0000020804
600.00000000,0.0245959840,0.0124067725,0.0000057231
606.00000000,0.0245890751,0.0124138161,-0.0000011515
612.00000000,0.0245905362,0.0124090349,0.0000002435
618.00000000,0.0245820240,0.0123916694,-0.0000014187
624.00000000,0.0246263561,0.0124194329,0.0000073887
630.00000000,0.0245668408,0.0124101160,-0.0000099192
636.00000000,0.0246132258,0.0124257057,0.0000077308
642.00000000,0.0246117066,0.0124154240,-0.0000002532
648.00000000,0.0246085093,0.0124178820,-0.0000005329
654.00000000,0.0246161560,0.0124175160,0.0000012744
660.00000000,0.0246343439,0.0124168426,0.0000030313
666.00000000,0.0245829549,0.0125966093,-0.0000085648
672.00000000,0.0245860779,0.0125997553,0.0000005205
678.00000000,0.0246263239,0.0125840685,0.0000067077
684.00000000,0.0245989160,0.0125964408,-0.0000045680
690.00000000,0.0246159074,0.0125877127,0.0000028319
696.00000000,0.0245812390,0.0125981785,-0.0000057781
702.00000000,0.0245993043,0.0125886176,0.0000030109
708.00000000,0.0246682651,0.0126895830,0.0000114935
714.00000000,0.0246445267,0.0127068594,-0.0000039564
720.00000000,0.0246813884,0.0126925529,0.0000061436
