checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0239937154,0.0015257899,0.0000000000
6.00000000,0.0239917340,0.0028295006,-0.0000003302
12.00000000,0.0239424201,0.0028229681,-0.0000082190
18.00000000,0.0239305511,0.0029645462,-0.0000019782
24.00000000,0.0239094156,0.0030284307,-0.0000035226
30.00000000,0.0238501472,0.0030986217,-0.0000098781
36.00000000,0.0237732360,0.0031954767,-0.0000128185
42.00000000,0.0238058173,0.0032524096,0.0000054302
48.00000000,0.0238146803,0.0033419327,0.0000014772
54.00000000,0.0238000092,0.0034775618,-0.0000024452
60.00000000,0.0237837899,0.0035182555,-0.0000027032
66.00000000,0.0237609346,0.0035548522,-0.0000038092
72.00000000,0.0237212703,0.0035760623,-0.0000066107
78.00000000,0.0237190971,0.0036488182,-0.0000003622
84.00000000,0.0236953411,0.0043023409,-0.0000039593
90.00000000,0.0236787781,0.0043661447,-0.0000027605
96.00000000,0.0236512372,0.0043941439,-0.0000045901
102.00000000,0.0236278907,0.0044272559,-0.0000038911
108.00000000,0.0236195709,0.0044919006,-0.0000013866
114.00000000,0.0235851227,0.0045364308,-0.0000057414
120.00000000,0.0235850575,0.0045488831,-0.0000000109
126.00000000,0.0235840490,0.0045961640,-0.0000001681
132.00000000,0.0235734878,0.0046235618,-0.0000017602
138.00000000,0.0235651973,0.0046582736,-0.0000013818
144.00000000,0.0235529159,0.0046881145,-0.0000020469
150.00000000,0.0234899046,0.0046824657,-0.0000105019
156.00000000,0.0235243718,0.0047407875,0.0000057445
162.00000000,0.0235001725,0.0047729576,-0.0000040332
168.00000000,0.0234666879,0.0047698832,-0.0000055808
174.00000000,0.0235621874,0.0049930861,0.0000159166
180.00000000,0.0235340366,0.0050084523,-0.0000046918
186.00000000,0.0234891443,0.0050605377,-0.0000074821
192.00000000,0.0234773820,0.0050810133,-0.0000019604
198.00000000,0.0235195326,0.0051053536,0.0000070251
204.00000000,0.0235004138,0.0051652883,-0.0000031865
210.00000000,0.0235515753,0.0051796978,0.0000085269
216.00000000,0.0235709514,0.0051750732,0.0000032294
222.00000000,0.0235943378,0.0053545779,0.0000038977
228.00000000,0.0236213724,0.0053880936,0.0000045058
234.00000000,0.0236628251,0.0053909865,0.0000069088
240.00000000,0.0236736481,0.0054283678,0.0000018038
246.00000000,0.0236824447,0.0054444210,0.0000014661
252.00000000,0.0237398576,0.0054487906,0.0000095688
258.00000000,0.0237459555,0.0054661564,0.0000010163
264.00000000,0.0237740925,0.0054792169,0.0000046895
270.00000000,0.0237939375,0.0054686973,0.0000033075
276.00000000,0.0237918812,0.0055228741,-0.0000003427
282.00000000,0.0238393831,0.0055069660,0.0000079170
288.00000000,0.0238345147,0.0055440777,-0.0000008114
294.00000000,0.0238605349,0.0055080131,0.0000043367
300.00000000,0.0238521543,0.0055551774,-0.0000013968
306.00000000,0.0238894094,0.0055590775,0.0000062092
312.00000000,0.0239263650,0.0055815252,0.0000061593
318.00000000,0.0239354819,0.0055782187,0.0000015195
324.00000000,0.0239541177,0.0055977548,0.0000031060
330.00000000,0.0239575040,0.0056086429,0.0000005644
336.00000000,0.0239759312,0.0056098836,0.0000030712
342.00000000,0.0239717937,0.0056227091,-0.0000006896
348.00000000,0.0239657365,0.0056474964,-0.0000010095
354.00000000,0.0240041701,0.0056254284,0.0000064056
360.00000000,0.0239421040,0.0056475301,-0.0000103444
366.00000000,0.0239850837,0.0056678086,0.0000071633
372.00000000,0.0240338412,0.0056532249,0.0000081262
378.00000000,0.0240297853,0.0056556096,-0.0000006760
384.00000000,0.0240439871,0.0056625784,0.0000023670
390.00000000,0.0240585527,0.0056738542,0.0000024276
396.00000000,0.0240991938,0.0058342422,0.0000067735
402.00000000,0.0240917989,0.0058394884,-0.0000012325
408.00000000,0.0240788933,0.0057860537,-0.0000021509
414.00000000,0.0240708151,0.0058651242,-0.0000013464
420.00000000,0.0241115640,0.0058450852,0.0000067915
426.00000000,0.0240980376,0.0058668770,-0.0000022544
432.00000000,0.0240857609,0.0058318285,-0.0000020461
438.00000000,0.0240712777,0.0059011979,-0.0000024139
444.00000000,0.0241973153,0.0062593406,0.0000210063
450.00000000,0.0241912102,0.0062539135,-0.0000010175
456.00000000,0.0241023933,0.0063264737,-0.0000148028
462.00000000,0.0241449330,0.0063150531,0.0000070900
468.00000000,0.0241374422,0.0063262704,-0.0000012485
474.00000000,0.0241476416,0.0062997429,0.0000016999
480.00000000,0.0241199987,0.0063275129,-0.0000046072
