checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0239916247,0.0015202500,0.0000000000
6.00000000,0.0240728497,0.0049993156,0.0000135375
12.00000000,0.0238959990,0.0057392123,-0.0000294751
18.00000000,0.0238107262,0.0061864092,-0.0000142121
24.00000000,0.0237894688,0.0061993388,-0.0000035429
30.00000000,0.0237721926,0.0062370462,-0.0000028794
36.00000000,0.0237226285,0.0062475010,-0.0000082607
42.00000000,0.0237492187,0.0063414696,0.0000044317
48.00000000,0.0236891271,0.0064008908,-0.0000100153
54.00000000,0.0236927038,0.0067988252,0.0000005961
60.00000000,0.0236506790,0.0071935921,-0.0000070041
66.00000000,0.0236286121,0.0072306405,-0.0000036778
72.00000000,0.0236212211,0.0072514543,-0.0000012318
78.00000000,0.0235751153,0.0073405324,-0.0000076843
84.00000000,0.0235628318,0.0073623304,-0.0000020472
90.00000000,0.0236599914,0.0076474766,0.0000161933
96.00000000,0.0236032991,0.0077053628,-0.0000094487
102.00000000,0.0235492806,0.0077475284,-0.0000090031
108.00000000,0.0234919205,0.0077854635,-0.0000095600
114.00000000,0.0234802772,0.0078137842,-0.0000019405
120.00000000,0.0235040010,0.0078222567,0.0000039540
126.00000000,0.0235449220,0.0079173381,0.0000068202
132.00000000,0.0235364579,0.0079487320,-0.0000014107
138.00000000,0.0234934979,0.0080241714,-0.0000071600
144.00000000,0.0234896214,0.0080379959,-0.0000006461
150.00000000,0.0234849667,0.0080702240,-0.0000007758
156.00000000,0.0234873928,0.0080913624,0.0000004043
162.00000000,0.0234522220,0.0081645174,-0.0000058618
168.00000000,0.0234410721,0.0081852045,-0.0000018583
174.00000000,0.0234443917,0.0082081362,0.0000005533
180.00000000,0.0234424688,0.0082309900,-0.0000003205
186.00000000,0.0234432532,0.0082518151,0.0000001307
192.00000000,0.0234257644,0.0082701302,-0.0000029148
198.00000000,0.0234319303,0.0082835593,0.0000010276
204.00000000,0.0234214531,0.0082882044,-0.0000017462
210.00000000,0.0234033797,0.0083028004,-0.0000030122
216.00000000,0.0234109058,0.0083519565,0.0000012544
222.00000000,0.0234785779,0.0083792138,0.0000112787
228.00000000,0.0234920511,0.0083897728,0.0000022455
234.00000000,0.0235308130,0.0084170717,0.0000064603
240.00000000,0.0235505019,0.0084378368,0.0000032815
246.00000000,0.0235605597,0.0084416647,0.0000016763
252.00000000,0.0235931442,0.0084566711,0.0000054307
258.00000000,0.0236389990,0.0084801680,0.0000076425
264.00000000,0.0236698854,0.0084879021,0.0000051477
270.00000000,0.0236933571,0.0085026818,0.0000039120
276.00000000,0.0236856750,0.0086122911,-0.0000012803
282.00000000,0.0237224756,0.0086189800,0.0000061334
288.00000000,0.0237303905,0.0086506157,0.0000013192
294.00000000,0.0237543912,0.0086639694,0.0000040001
300.00000000,0.0237677854,0.0086666651,0.0000022324
306.00000000,0.0237667107,0.0086654026,-0.0000001791
312.00000000,0.0237890507,0.0087136294,0.0000037233
318.00000000,0.0238289430,0.0087137704,0.0000066487
324.00000000,0.0238408381,0.0087337743,0.0000019825
330.00000000,0.0238456511,0.0087284966,0.0000008022
336.00000000,0.0238590578,0.0087583017,0.0000022345
342.00000000,0.0238748119,0.0087702943,0.0000026257
348.00000000,0.0238828858,0.0088247088,0.0000013456
354.00000000,0.0238897561,0.0088369612,0.0000011450
360.00000000,0.0239158214,0.0088321276,0.0000043442
366.00000000,0.0239302643,0.0088448529,0.0000024071
372.00000000,0.0239281799,0.0088568737,-0.0000003474
378.00000000,0.0239473592,0.0088616822,0.0000031965
384.00000000,0.0239292009,0.0088775311,-0.0000030264
390.00000000,0.0239724578,0.0088546455,0.0000072095
396.00000000,0.0239847107,0.0088836244,0.0000020421
402.00000000,0.0239882100,0.0088933901,0.0000005832
408.00000000,0.0239744765,0.0089021561,-0.0000022889
414.00000000,0.0239923048,0.0088954556,0.0000029714
420.00000000,0.0240004515,0.0089124025,0.0000013578
426.00000000,0.0239400130,0.0089883998,-0.0000100731
432.00000000,0.0239571365,0.0089954071,0.0000028539
438.00000000,0.0239624852,0.0090037176,0.0000008915
444.00000000,0.0239789497,0.0090056889,0.0000027441
450.00000000,0.0239752339,0.0090005103,-0.0000006193
456.00000000,0.0239973700,0.0090085239,0.0000036893
462.00000000,0.0239575553,0.0090290662,-0.0000066358
468.00000000,0.0240136051,0.0090261654,0.0000093416
474.00000000,0.0240352293,0.0090301096,0.0000036040
480.00000000,0.0240256505,0.0090239450,-0.0000015965
486.00000000,0.0239869915,0.0090501737,-0.0000064432
492.00000000,0.0240300212,0.0090170434,0.0000071716
498.00000000,0.0240514690,0.0090410152,0.0000035746
504.00000000,0.0240514545,0.0090346749,-0.0000000024
510.00000000,0.0240458601,0.0090415382,-0.0000009324
516.00000000,0.0240735045,0.0090508537,0.0000046074
522.00000000,0.0240745786,0.0090558854,0.0000001790
528.00000000,0.0240180449,0.0090760051,-0.0000094223
534.00000000,0.0240801238,0.0090660164,0.0000103465
540.00000000,0.0240871236,0.0090634599,0.0000011666
