checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0239857789,0.0015245335,0.0000000000
6.00000000,0.0240901865,0.0062410655,0.0000174013
12.00000000,0.0238893223,0.0070021412,-0.0000334774
18.00000000,0.0236338457,0.0075582421,-0.0000425794
24.00000000,0.0238521529,0.0080996262,0.0000363845
30.00000000,0.0235779688,0.0081569807,-0.0000456973
36.00000000,0.0234355928,0.0085633192,-0.0000237293
42.00000000,0.0233654905,0.0086223348,-0.0000116837
48.00000000,0.0233660069,0.0086448135,0.0000000861
54.00000000,0.0233758020,0.0086630084,0.0000016325
60.00000000,0.0233852632,0.0086880232,0.0000015769
66.00000000,0.0233463955,0.0087099382,-0.0000064779
72.00000000,0.0233399087,0.0087324637,-0.0000010811
78.00000000,0.0234027961,0.0088034863,0.0000104812
84.00000000,0.0233618164,0.0088307431,-0.0000068300
90.00000000,0.0235124254,0.0090340232,0.0000251015
96.00000000,0.0234642028,0.0090553601,-0.0000080371
102.00000000,0.0234525735,0.0090694449,-0.0000019382
108.00000000,0.0234532580,0.0091384762,0.0000001141
114.00000000,0.0233834192,0.0091612792,-0.0000116398
120.00000000,0.0233965335,0.0091707989,0.0000021857
126.00000000,0.0233559174,0.0091953775,-0.0000067693
132.00000000,0.0233560139,0.0092079219,0.0000000161
138.00000000,0.0233921132,0.0092460827,0.0000060165
144.00000000,0.0233708516,0.0092620869,-0.0000035436
150.00000000,0.0233373058,0.0092773835,-0.0000055910
156.00000000,0.0233428068,0.0093278814,0.0000009168
162.00000000,0.0233606488,0.0093687276,0.0000029737
168.00000000,0.0233243781,0.0093843070,-0.0000060451
174.00000000,0.0233243644,0.0093875700,-0.0000000023
180.00000000,0.0233027388,0.0094118776,-0.0000036043
186.00000000,0.0232633607,0.0094554303,-0.0000065630
192.00000000,0.0232684597,0.0094707997,0.0000008498
198.00000000,0.0232947551,0.0095059332,0.0000043826
204.00000000,0.0233365498,0.0095223233,0.0000069658
210.00000000,0.0233730742,0.0095375307,0.0000060874
216.00000000,0.0234259052,0.0095518896,0.0000088052
222.00000000,0.0234432497,0.0095723673,0.0000028907
228.00000000,0.0234805115,0.0095948600,0.0000062103
234.00000000,0.0234910117,0.0096053788,0.0000017500
240.00000000,0.0235416262,0.0096235773,0.0000084358
246.00000000,0.0236340478,0.0096600315,0.0000154036
252.00000000,0.0236051446,0.0096376591,-0.0000048172
258.00000000,0.0236659596,0.0096688650,0.0000101358
264.00000000,0.0236620365,0.0096879844,-0.0000006538
270.00000000,0.0237690920,0.0096807859,0.0000178426
276.00000000,0.0237250456,0.0097297433,-0.0000073411
282.00000000,0.0237146550,0.0097139064,-0.0000017318
288.00000000,0.0236979759,0.0097500839,-0.0000027799
294.00000000,0.0237286125,0.0097769237,0.0000051061
300.00000000,0.0237794193,0.0097770286,0.0000084678
306.00000000,0.0238181285,0.0097838851,0.0000064515
312.00000000,0.0238024851,0.0097993012,-0.0000026072
318.00000000,0.0238166090,0.0098178506,0.0000023540
324.00000000,0.0238284397,0.0098220589,0.0000019718
330.00000000,0.0238770410,0.0098204169,0.0000081002
336.00000000,0.0238427582,0.0098481903,-0.0000057138
342.00000000,0.0238669181,0.0098553883,0.0000040267
348.00000000,0.0238805275,0.0098630609,0.0000022682
354.00000000,0.0238743093,0.0098771101,-0.0000010364
360.00000000,0.0238800367,0.0098810563,0.0000009546
366.00000000,0.0238876989,0.0098782499,0.0000012770
372.00000000,0.0239143390,0.0098938271,0.0000044400
378.00000000,0.0239314306,0.0099046851,0.0000028486
384.00000000,0.0239102975,0.0099093533,-0.0000035222
390.00000000,0.0239396255,0.0099067419,0.0000048880
396.00000000,0.0239548126,0.0099277774,0.0000025312
402.00000000,0.0239762324,0.0099281446,0.0000035700
408.00000000,0.0239634245,0.0099169556,-0.0000021347
414.00000000,0.0239928761,0.0099385346,0.0000049086
420.00000000,0.0239987709,0.0099395094,0.0000009825
426.00000000,0.0239947343,0.0099550749,-0.0000006728
432.00000000,0.0240226903,0.0099498254,0.0000046593
438.00000000,0.0240215759,0.0099537674,-0.0000001857
444.00000000,0.0240374561,0.0099571127,0.0000026467
450.00000000,0.0240421115,0.0099609750,0.0000007759
456.00000000,0.0240663203,0.0099481647,0.0000040348
462.00000000,0.0240487258,0.0099661372,-0.0000029324
468.00000000,0.0241657296,0.0099231090,0.0000195006
474.00000000,0.0241559777,0.0099066598,-0.0000016253
480.00000000,0.0241488681,0.0099329708,-0.0000011849
