checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0243467943,0.0015449101,0.0000000000
6.00000000,0.0248338531,0.0091129849,0.0000811765
12.00000000,0.0249606072,0.0093897817,0.0000211257
18.00000000,0.0251351635,0.0096287200,0.0000290927
24.00000000,0.0248907489,0.0101753142,-0.0000407358
30.00000000,0.0248212862,0.0102872449,-0.0000115771
36.00000000,0.0255184165,0.0101471546,0.0001161884
42.00000000,0.0256140985,0.0101709443,0.0000159470
48.00000000,0.0257220627,0.0102152921,0.0000179940
54.00000000,0.0257082733,0.0103427676,-0.0000022982
60.00000000,0.0258405026,0.0104371083,0.0000220382
66.00000000,0.0259510392,0.0105310309,0.0000184228
72.00000000,0.0260010111,0.0105625206,0.0000083287
78.00000000,0.0258826287,0.0107408068,-0.0000197304
84.00000000,0.0261953450,0.0107546614,0.0000521194
90.00000000,0.0260440775,0.0108275980,-0.0000252112
96.00000000,0.0262852718,0.0109402288,0.0000401990
102.00000000,0.0264131501,0.0110118391,0.0000213131
108.00000000,0.0264423910,0.0110239259,0.0000048735
114.00000000,0.0263783864,0.0111865302,-0.0000106674
120.00000000,0.0265558272,0.0112015599,0.0000295735
126.00000000,0.0264285452,0.0113528823,-0.0000212137
132.00000000,0.0265263601,0.0112498414,0.0000163025
138.00000000,0.0265952578,0.0114070250,0.0000114829
144.00000000,0.0267594648,0.0114512357,0.0000273678
150.00000000,0.0267427789,0.0115164243,-0.0000027810
156.00000000,0.0269021338,0.0115134992,0.0000265591
162.00000000,0.0268952755,0.0118369957,-0.0000011431
168.00000000,0.0269194495,0.0118495780,0.0000040290
174.00000000,0.0270137922,0.0118932241,0.0000157238
180.00000000,0.0270758501,0.0119389558,0.0000103430
186.00000000,0.0271215027,0.0119565741,0.0000076088
192.00000000,0.0271321921,0.0120934108,0.0000017816
198.00000000,0.0272087149,0.0121081857,0.0000127538
204.00000000,0.0273868738,0.0121095883,0.0000296931
210.00000000,0.0268708961,0.0123317766,-0.0000859963
216.00000000,0.0273020970,0.0122200702,0.0000718668
222.00000000,0.0276211509,0.0121668170,0.0000531756
228.00000000,0.0276213654,0.0121487760,0.0000000358
234.00000000,0.0276174489,0.0122495907,-0.0000006528
240.00000000,0.0276959182,0.0122439758,0.0000130782
246.00000000,0.0277947849,0.0122614401,0.0000164778
252.00000000,0.0278529286,0.0122887238,0.0000096906
258.00000000,0.0278735077,0.0123174344,0.0000034299
264.00000000,0.0279445392,0.0123259760,0.0000118386
270.00000000,0.0275290520,0.0125497734,-0.0000692479
276.00000000,0.0280288714,0.0123569636,0.0000833032
282.00000000,0.0279986061,0.0123938519,-0.0000050442
288.00000000,0.0279762764,0.0124892706,-0.0000037216
294.00000000,0.0280570634,0.0124659404,0.0000134645
300.00000000,0.0280608295,0.0125927393,0.0000006277
306.00000000,0.0281752855,0.0125653960,0.0000190760
312.00000000,0.0281788670,0.0125688504,0.0000005969
318.00000000,0.0281792174,0.0125804218,0.0000000584
324.00000000,0.0282385674,0.0125831750,0.0000098917
330.00000000,0.0282657862,0.0126357423,0.0000045365
336.00000000,0.0281944243,0.0127796852,-0.0000118937
342.00000000,0.0282485228,0.0127489911,0.0000090164
348.00000000,0.0282171935,0.0127656731,-0.0000052215
354.00000000,0.0281030484,0.0128609553,-0.0000190242
360.00000000,0.0283552481,0.0127566543,0.0000420333
366.00000000,0.0283879890,0.0127780866,0.0000054568
372.00000000,0.0283614155,0.0127764983,-0.0000044289
378.00000000,0.0284216185,0.0128150289,0.0000100338
384.00000000,0.0284357197,0.0128255553,0.0000023502
390.00000000,0.0284420374,0.0128278031,0.0000010529
396.00000000,0.0279895759,0.0130450613,-0.0000754102
402.00000000,0.0284660827,0.0128582634,0.0000794178
408.00000000,0.0284976809,0.0128869464,0.0000052664
414.00000000,0.0284637354,0.0129039446,-0.0000056576
420.00000000,0.0283947734,0.0129311076,-0.0000114937
