checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0237242166,0.0014907729,0.0000000000
6.00000000,0.0251621393,0.0058480475,0.0002396538
12.00000000,0.0252605673,0.0062647113,0.0000164047
18.00000000,0.0253929455,0.0067319111,0.0000220630
24.00000000,0.0254659934,0.0067571155,0.0000121746
30.00000000,0.0255364759,0.0068966607,0.0000117471
36.00000000,0.0255457240,0.0068336502,0.0000015413
42.00000000,0.0255483091,0.0069347718,0.0000004309
48.00000000,0.0257137862,0.0070037226,0.0000275795
54.00000000,0.0257364120,0.0070130831,0.0000037710
60.00000000,0.0257362506,0.0069606520,-0.0000000269
66.00000000,0.0258246078,0.0070791633,0.0000147262
72.00000000,0.0259204384,0.0070899154,0.0000159718
78.00000000,0.0260512492,0.0075273287,0.0000218018
84.00000000,0.0261164568,0.0075442199,0.0000108679
90.00000000,0.0261205814,0.0076117666,0.0000006874
96.00000000,0.0260755134,0.0076294711,-0.0000075113
102.00000000,0.0261300096,0.0077603252,0.0000090827
108.00000000,0.0260871648,0.0081392506,-0.0000071408
114.00000000,0.0261329912,0.0081841220,0.0000076377
120.00000000,0.0259659847,0.0082763034,-0.0000278344
126.00000000,0.0262407296,0.0082072014,0.0000457908
132.00000000,0.0261568358,0.0081733544,-0.0000139823
138.00000000,0.0261842513,0.0081432639,0.0000045693
144.00000000,0.0262551503,0.0082694283,0.0000118165
150.00000000,0.0263197644,0.0082829263,0.0000107690
156.00000000,0.0262326701,0.0083825815,-0.0000145157
162.00000000,0.0263975358,0.0085514557,0.0000274776
168.00000000,0.0264384063,0.0085910296,0.0000068117
174.00000000,0.0264408731,0.0086079615,0.0000004111
180.00000000,0.0265451037,0.0086220857,0.0000173718
186.00000000,0.0265863295,0.0087086303,0.0000068710
192.00000000,0.0265825456,0.0087772291,-0.0000006307
198.00000000,0.0265772310,0.0088600177,-0.0000008858
204.00000000,0.0266228205,0.0087458885,0.0000075983
210.00000000,0.0267934351,0.0088427651,0.0000284358
216.00000000,0.0268547171,0.0088675819,0.0000102137
222.00000000,0.0267695361,0.0088901380,-0.0000141968
228.00000000,0.0268889541,0.0088704052,0.0000199030
234.00000000,0.0269432430,0.0088810743,0.0000090481
240.00000000,0.0266332387,0.0090868583,-0.0000516674
246.00000000,0.0269962342,0.0089253956,0.0000604993
252.00000000,0.0267828484,0.0090772098,-0.0000355643
258.00000000,0.0268314802,0.0090625530,0.0000081053
264.00000000,0.0269979514,0.0088832158,0.0000277452
270.00000000,0.0270857443,0.0089673892,0.0000146321
276.00000000,0.0269658817,0.0090279875,-0.0000199771
282.00000000,0.0270539854,0.0089460902,0.0000146840
288.00000000,0.0270415403,0.0089697053,-0.0000020742
294.00000000,0.0271734621,0.0089793238,0.0000219870
300.00000000,0.0271644459,0.0090061464,-0.0000015027
306.00000000,0.0271788870,0.0089764649,0.0000024069
312.00000000,0.0272134383,0.0089875430,0.0000057586
318.00000000,0.0271780271,0.0090380487,-0.0000059019
324.00000000,0.0272691842,0.0090157578,0.0000151929
330.00000000,0.0271708095,0.0090277529,-0.0000163958
336.00000000,0.0269487216,0.0093408853,-0.0000370146
342.00000000,0.0272832274,0.0092424872,0.0000557510
348.00000000,0.0273190262,0.0092098298,0.0000059665
354.00000000,0.0273279649,0.0092193222,0.0000014898
360.00000000,0.0273024426,0.0092256657,-0.0000042537
366.00000000,0.0271996644,0.0092891073,-0.0000171297
372.00000000,0.0273753909,0.0092254288,0.0000292878
378.00000000,0.0273969336,0.0092147827,0.0000035905
384.00000000,0.0273123568,0.0092423234,-0.0000140961
390.00000000,0.0273835808,0.0092073553,0.0000118707
396.00000000,0.0273304564,0.0092001720,-0.0000088541
402.00000000,0.0271356816,0.0093881635,-0.0000324625
408.00000000,0.0274031030,0.0092364346,0.0000445702
414.00000000,0.0273961163,0.0092277916,-0.0000011645
420.00000000,0.0273613743,0.0092574992,-0.0000057903
