checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0224913420,0.0014451029,0.0000000000
6.00000000,0.0230655669,0.0047890398,0.0000957042
12.00000000,0.0230410747,0.0055454752,-0.0000040820
18.00000000,0.0231216740,0.0056311410,0.0000134332
24.00000000,0.0230646710,0.0056441411,-0.0000095005
30.00000000,0.0231863033,0.0060377091,0.0000202720
36.00000000,0.0233376884,0.0061689911,0.0000252308
42.00000000,0.0233293379,0.0062368271,-0.0000013917
48.00000000,0.0233680647,0.0063078270,0.0000064545
54.00000000,0.0233704353,0.0063183594,0.0000003951
60.00000000,0.0233674603,0.0062459016,-0.0000004958
66.00000000,0.0234940286,0.0066249672,0.0000210947
72.00000000,0.0235363931,0.0068426698,0.0000070607
78.00000000,0.0235536322,0.0068395654,0.0000028732
84.00000000,0.0235434974,0.0068790750,-0.0000016891
90.00000000,0.0233178862,0.0077563534,-0.0000376019
96.00000000,0.0234440623,0.0078314386,0.0000210293
102.00000000,0.0233964431,0.0078358652,-0.0000079365
108.00000000,0.0233165227,0.0078956766,-0.0000133201
114.00000000,0.0234407813,0.0081504342,0.0000207098
120.00000000,0.0234837119,0.0081808205,0.0000071551
126.00000000,0.0234740400,0.0082267792,-0.0000016120
132.00000000,0.0235479428,0.0082299670,0.0000123171
138.00000000,0.0235693873,0.0082037939,0.0000035741
144.00000000,0.0236028734,0.0082437130,0.0000055810
150.00000000,0.0235815552,0.0083406927,-0.0000035530
156.00000000,0.0235048348,0.0082717466,-0.0000127867
162.00000000,0.0236253092,0.0083607058,0.0000200791
168.00000000,0.0236612966,0.0086576692,0.0000059979
174.00000000,0.0236763086,0.0086500948,0.0000025020
180.00000000,0.0236264112,0.0086657731,-0.0000083162
186.00000000,0.0237072729,0.0086992041,0.0000134769
192.00000000,0.0237448150,0.0087396155,0.0000062570
198.00000000,0.0237104149,0.0087810163,-0.0000057333
204.00000000,0.0237820562,0.0092140683,0.0000119402
210.00000000,0.0238666827,0.0092176231,0.0000141044
216.00000000,0.0238454174,0.0091959985,-0.0000035442
222.00000000,0.0238632899,0.0092299914,0.0000029788
228.00000000,0.0238597501,0.0092472061,-0.0000005900
234.00000000,0.0239023830,0.0092793389,0.0000071055
240.00000000,0.0238572098,0.0092929868,-0.0000075289
246.00000000,0.0238470536,0.0093150151,-0.0000016927
252.00000000,0.0238981983,0.0093249907,0.0000085241
258.00000000,0.0239065347,0.0093150923,0.0000013894
264.00000000,0.0239072122,0.0093090240,0.0000001129
270.00000000,0.0239355518,0.0093101439,0.0000047233
276.00000000,0.0239326326,0.0093446460,-0.0000004865
282.00000000,0.0239378985,0.0093593845,0.0000008776
288.00000000,0.0237752203,0.0093524118,-0.0000271130
294.00000000,0.0239633647,0.0093546582,0.0000313574
300.00000000,0.0239485730,0.0093505776,-0.0000024653
306.00000000,0.0238073400,0.0093733860,-0.0000235388
312.00000000,0.0239594576,0.0093838053,0.0000253529
318.00000000,0.0239596649,0.0093663458,0.0000000346
324.00000000,0.0239819141,0.0094726472,0.0000037082
330.00000000,0.0239555216,0.0094711530,-0.0000043987
336.00000000,0.0239956366,0.0094808428,0.0000066858
342.00000000,0.0240031103,0.0094997241,0.0000012456
348.00000000,0.0239767516,0.0094743816,-0.0000043931
354.00000000,0.0240009706,0.0095008335,0.0000040365
360.00000000,0.0240147893,0.0095016922,0.0000023031
366.00000000,0.0240025506,0.0095059949,-0.0000020398
372.00000000,0.0240177574,0.0095152291,0.0000025345
378.00000000,0.0240458759,0.0095500672,0.0000046864
384.00000000,0.0240520816,0.0095748383,0.0000010343
390.00000000,0.0239089150,0.0095363966,-0.0000238611
396.00000000,0.0240518034,0.0095707754,0.0000238147
402.00000000,0.0240504466,0.0095853120,-0.0000002261
408.00000000,0.0240380680,0.0095903197,-0.0000020631
414.00000000,0.0240162373,0.0095795923,-0.0000036384
420.00000000,0.0240422175,0.0095628975,0.0000043300
