checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0240349706,0.0015238092,0.0000000000
6.00000000,0.0246765068,0.0083320821,0.0001069227
12.00000000,0.0248627314,0.0085354985,0.0000310374
18.00000000,0.0248778716,0.0085917877,0.0000025234
24.00000000,0.0251326701,0.0087746147,0.0000424664
30.00000000,0.0250992455,0.0090760791,-0.0000055708
36.00000000,0.0252786446,0.0093380791,0.0000298998
42.00000000,0.0248705933,0.0095728786,-0.0000680085
48.00000000,0.0253925692,0.0095115346,0.0000869960
54.00000000,0.0254719234,0.0095865645,0.0000132257
60.00000000,0.0255092286,0.0095697545,0.0000062175
66.00000000,0.0254716152,0.0096472684,-0.0000062689
72.00000000,0.0255729067,0.0096745820,0.0000168819
78.00000000,0.0257582563,0.0097467254,0.0000308916
84.00000000,0.0256906656,0.0102903510,-0.0000112651
90.00000000,0.0258115581,0.0103082537,0.0000201487
96.00000000,0.0257780867,0.0103073738,-0.0000055786
102.00000000,0.0259134952,0.0103896480,0.0000225681
108.00000000,0.0259374563,0.0104274742,0.0000039935
114.00000000,0.0260143104,0.0104580654,0.0000128090
120.00000000,0.0260356554,0.0105412355,0.0000035575
126.00000000,0.0261096584,0.0105556665,0.0000123338
132.00000000,0.0260273549,0.0105984028,-0.0000137173
138.00000000,0.0262059632,0.0106743179,0.0000297680
144.00000000,0.0261672007,0.0106500970,-0.0000064604
150.00000000,0.0261304020,0.0107461535,-0.0000061331
156.00000000,0.0262753549,0.0107648064,0.0000241588
162.00000000,0.0263075254,0.0109726099,0.0000053617
168.00000000,0.0263088983,0.0109859152,0.0000002288
174.00000000,0.0263839125,0.0111051060,0.0000125024
180.00000000,0.0261026064,0.0114272266,-0.0000468843
186.00000000,0.0264873356,0.0113146873,0.0000641215
192.00000000,0.0261598675,0.0114372128,-0.0000545780
198.00000000,0.0264344081,0.0114207393,0.0000457568
204.00000000,0.0266368151,0.0113497436,0.0000337345
210.00000000,0.0267244276,0.0114038738,0.0000146021
216.00000000,0.0266778813,0.0114313498,-0.0000077577
222.00000000,0.0268026661,0.0114177848,0.0000207975
228.00000000,0.0268367472,0.0114283184,0.0000056802
234.00000000,0.0268888313,0.0114841050,0.0000086807
240.00000000,0.0269463252,0.0114917656,0.0000095823
246.00000000,0.0268055052,0.0116643454,-0.0000234700
252.00000000,0.0268794772,0.0116271472,0.0000123287
258.00000000,0.0270045476,0.0116384547,0.0000208451
264.00000000,0.0270172790,0.0116559544,0.0000021219
270.00000000,0.0270617979,0.0116519506,0.0000074198
276.00000000,0.0271186995,0.0116986205,0.0000094836
282.00000000,0.0267517834,0.0118734133,-0.0000611527
288.00000000,0.0271916826,0.0117097721,0.0000733165
294.00000000,0.0272286823,0.0117250249,0.0000061666
300.00000000,0.0270994742,0.0116949462,-0.0000215347
306.00000000,0.0267722761,0.0119644308,-0.0000545330
312.00000000,0.0273054012,0.0117569159,0.0000888542
318.00000000,0.0273206213,0.0117635516,0.0000025367
324.00000000,0.0273433992,0.0117942803,0.0000037963
330.00000000,0.0272868813,0.0118323734,-0.0000094196
336.00000000,0.0273693317,0.0117959722,0.0000137417
342.00000000,0.0274113502,0.0118041511,0.0000070031
348.00000000,0.0274176639,0.0118098480,0.0000010523
354.00000000,0.0274024689,0.0118247664,-0.0000025325
360.00000000,0.0273432868,0.0118092476,-0.0000098637
366.00000000,0.0274493118,0.0118386562,0.0000176708
372.00000000,0.0274457648,0.0118868075,-0.0000005912
378.00000000,0.0272911842,0.0119691565,-0.0000257634
384.00000000,0.0275538141,0.0118648712,0.0000437716
390.00000000,0.0275087093,0.0118920337,-0.0000075175
396.00000000,0.0274964259,0.0119007410,-0.0000020472
402.00000000,0.0275789234,0.0118761591,0.0000137496
408.00000000,0.0275859383,0.0118957903,0.0000011692
414.00000000,0.0275317891,0.0118769938,-0.0000090249
420.00000000,0.0275997918,0.0118790604,0.0000113338
