checkpoint_t_s,mean_w,std_w,dmean_w_dt
0.00000000,0.0248157815,0.0016072536,0.0000000000
6.00000000,0.0272784889,0.0064106067,0.0004104512
12.00000000,0.0274234252,0.0065036768,0.0000241560
18.00000000,0.0275729899,0.0067260160,0.0000249274
24.00000000,0.0277302310,0.0067361027,0.0000262069
30.00000000,0.0275966725,0.0068840656,-0.0000222598
36.00000000,0.0280469167,0.0072669188,0.0000750407
42.00000000,0.0281422951,0.0072351942,0.0000158964
48.00000000,0.0280962259,0.0072051610,-0.0000076782
54.00000000,0.0282308281,0.0072004480,0.0000224337
60.00000000,0.0282082877,0.0072062593,-0.0000037567
66.00000000,0.0283826319,0.0072566623,0.0000290574
72.00000000,0.0284290901,0.0072555014,0.0000077430
78.00000000,0.0283060727,0.0072358353,-0.0000205029
84.00000000,0.0285318398,0.0074923948,0.0000376278
90.00000000,0.0285463160,0.0074300009,0.0000024127
96.00000000,0.0287275570,0.0074898624,0.0000302068
102.00000000,0.0286450166,0.0074246829,-0.0000137567
108.00000000,0.0289866411,0.0079826428,0.0000569374
114.00000000,0.0288773582,0.0080163032,-0.0000182138
120.00000000,0.0290175084,0.0079758669,0.0000233584
126.00000000,0.0290100770,0.0079783333,-0.0000012386
132.00000000,0.0290714268,0.0079899965,0.0000102250
138.00000000,0.0290404436,0.0080086036,-0.0000051639
144.00000000,0.0290196386,0.0080112835,-0.0000034675
150.00000000,0.0290728447,0.0079693841,0.0000088677
156.00000000,0.0289377412,0.0080126273,-0.0000225172
162.00000000,0.0290306656,0.0079993583,0.0000154874
168.00000000,0.0292057709,0.0080472718,0.0000291842
174.00000000,0.0290781406,0.0081374574,-0.0000212717
180.00000000,0.0291899946,0.0079681321,0.0000186423
186.00000000,0.0293739593,0.0080648830,0.0000306608
192.00000000,0.0292302094,0.0081840999,-0.0000239583
198.00000000,0.0293963213,0.0082238925,0.0000276853
204.00000000,0.0294896786,0.0081430819,0.0000155596
210.00000000,0.0294969780,0.0080995716,0.0000012166
216.00000000,0.0295722859,0.0081772742,0.0000125513
222.00000000,0.0296649402,0.0081712982,0.0000154424
228.00000000,0.0296726883,0.0081669756,0.0000012914
234.00000000,0.0297945996,0.0081482028,0.0000203185
240.00000000,0.0298276382,0.0082068647,0.0000055064
246.00000000,0.0298243453,0.0082398999,-0.0000005488
252.00000000,0.0299375658,0.0081801365,0.0000188701
258.00000000,0.0299471001,0.0082102573,0.0000015890
264.00000000,0.0303892122,0.0087734947,0.0000736854
270.00000000,0.0302156429,0.0089318396,-0.0000289282
276.00000000,0.0304532959,0.0087528191,0.0000396088
282.00000000,0.0304088803,0.0087715100,-0.0000074026
288.00000000,0.0304821776,0.0087893793,0.0000122162
294.00000000,0.0304407325,0.0096334634,-0.0000069075
300.00000000,0.0305235879,0.0096770877,0.0000138092
306.00000000,0.0304703501,0.0095823769,-0.0000088730
312.00000000,0.0304576756,0.0096608353,-0.0000021124
318.00000000,0.0306704910,0.0096673518,0.0000354692
324.00000000,0.0305304404,0.0096906975,-0.0000233418
330.00000000,0.0304593385,0.0096783518,-0.0000118503
336.00000000,0.0306491513,0.0096794149,0.0000316355
342.00000000,0.0306703672,0.0097055876,0.0000035360
348.00000000,0.0305427732,0.0097215017,-0.0000212657
354.00000000,0.0306683559,0.0096787174,0.0000209304
360.00000000,0.0306051677,0.0097124425,-0.0000105314
366.00000000,0.0305086450,0.0098731609,-0.0000160871
372.00000000,0.0302252849,0.0099500510,-0.0000472267
378.00000000,0.0305124347,0.0099055142,0.0000478583
384.00000000,0.0306232098,0.0099003668,0.0000184625
390.00000000,0.0306280000,0.0098972015,0.0000007984
396.00000000,0.0305515788,0.0099258163,-0.0000127369
402.00000000,0.0306533234,0.0099076737,0.0000169574
408.00000000,0.0306318999,0.0099868893,-0.0000035706
414.00000000,0.0306818036,0.0100001935,0.0000083173
420.00000000,0.0307272448,0.0100073924,0.0000075735
